qID,lat,lon,ele,time,name
1,36.7552100122,-117.1332750097,30.083246,2015-10-15T19:44:41Z,G8
2,36.7704820074,-117.1167709585,278.03775,2015-10-27T18:30:18Z,G8-P1
3,36.7729189619,-117.1112979949,357.795959,2015-10-27T21:32:46Z,G8-A-1
4,36.7622890323,-117.1205100417,158.931641,2015-10-30T18:05:25Z,G8-A-10
5,36.7607579939,-117.1217140183,133.486984,2015-10-30T18:57:49Z,G8-A-11
6,36.7592090182,-117.1230960265,110.020515,2015-10-30T19:28:55Z,G8-A-12
7,36.7577570211,-117.1245229617,86.818878,2015-10-30T20:05:06Z,G8-A-13
8,36.7565869913,-117.1263489593,68.620384,2015-10-30T20:36:02Z,G8-A-14
9,36.7555390019,-117.1286750212,48.340347,2015-10-30T21:15:50Z,G8-A-15
10,36.7713849898,-117.1119309962,326.650452,2015-10-27T22:07:30Z,G8-A-2
11,36.771672992,-117.1135839913,270.239899,2015-10-27T22:34:52Z,G8-A-3
12,36.7714239657,-117.115560025,270.296204,2015-10-27T22:59:56Z,G8-A-4
13,36.7703950033,-117.1158699878,258.574524,2015-10-27T23:33:39Z,G8-A-5
14,36.768566994,-117.116446998,237.452332,2015-10-28T19:24:18Z,G8-A-6
15,36.7668920383,-117.1174369846,216.370422,2015-10-28T21:07:30Z,G8-A-7
16,36.7652480118,-117.1183320042,198.031723,2015-10-28T22:38:46Z,G8-A-8
17,36.7637929972,-117.1192659996,177.73851,2015-10-28T23:36:54Z,G8-A-9
18,36.7704430316,-117.1160269808,260.868073,2015-10-28T00:02:50Z,G8-B-1
19,36.7629699782,-117.1207599901,164.31633,2015-10-30T17:15:25Z,G8-B-10
20,36.762247961,-117.1214749664,148.363098,2015-10-30T18:31:57Z,G8-B-11
21,36.7696749978,-117.1166729741,253.085327,2015-10-28T18:42:43Z,G8-B-2
22,36.7686980031,-117.117119981,240.249786,2015-10-28T19:09:05Z,G8-B-3
23,36.7678759899,-117.1176710073,228.647049,2015-10-28T20:06:34Z,G8-B-4
24,36.7669839878,-117.1176119987,216.071671,2015-10-28T20:29:40Z,G8-B-5
25,36.7661680095,-117.1183849778,206.723206,2015-10-28T21:34:01Z,G8-B-6
26,36.7652889993,-117.1187660191,197.770554,2015-10-28T22:02:01Z,G8-B-7
27,36.7644890305,-117.1193860285,181.848877,2015-10-28T23:00:32Z,G8-B-8
28,36.7636339925,-117.1199470293,173.862762,2015-10-28T23:16:49Z,G8-B-9
29,36.7615260277,-117.1221730113,139.376114,2015-10-30T17:07:33Z,G8-B-BOTTOM
30,36.7708689999,-117.1162100416,273.381317,2015-10-27T18:42:45Z,G8-C-1
31,36.7705260124,-117.1164490096,267.782471,2015-10-27T19:08:04Z,G8-C-2
32,36.7700869683,-117.1166680288,260.290894,2015-10-27T19:39:45Z,G8-C-3
33,36.7695969623,-117.1168690268,255.457642,2015-10-27T19:54:28Z,G8-C-4
34,36.7691760231,-117.1171680093,249.524765,2015-10-27T20:21:51Z,G8-C-5
35,36.7687529884,-117.1175049618,242.884552,2015-10-27T20:37:04Z,G8-C-6
36,36.7683880404,-117.1176440176,238.554169,2015-10-27T20:53:56Z,G8-C-7
37,36.7651839741,-117.1186080202,200.014542,2015-10-28T22:25:20Z,G8-C-8
38,36.7708509788,-117.1166790091,279.598206,2015-10-29T16:53:56Z,G8-D-1
39,36.7649060301,-117.12457099,150.801193,2015-10-29T21:36:02Z,G8-D-10
40,36.7599809915,-117.1359599847,30.261871,2015-10-30T22:09:57Z,G8-D-11
41,36.7594700307,-117.1367560141,23.544178,2015-10-30T22:15:20Z,G8-D-12
42,36.7605760228,-117.1344199777,35.758392,2015-10-30T22:22:21Z,G8-D-13
43,36.7692920286,-117.1176789701,256.486969,2015-10-29T17:27:21Z,G8-D-2
44,36.7678230163,-117.1189049911,226.874985,2015-10-29T17:53:56Z,G8-D-3
45,36.7666529864,-117.1206709743,202.674515,2015-10-29T18:20:46Z,G8-D-4
46,36.7658149637,-117.1227200143,181.231201,2015-10-29T18:59:19Z,G8-D-5
47,36.7611510213,-117.1322570276,52.263264,2015-10-29T19:57:28Z,G8-D-6
48,36.762121981,-117.1303039603,73.128365,2015-10-29T20:17:15Z,G8-D-7
49,36.7628569901,-117.1281769685,94.711334,2015-10-29T20:38:04Z,G8-D-8
50,36.763895005,-117.1263359673,123.72596,2015-10-29T21:02:24Z,G8-D-9
51,36.7709769588,-117.1137259807,325.867981,2015-10-28T16:56:37Z,G8-E-1
52,36.7709489632,-117.1142790187,317.3909,2015-10-28T17:23:29Z,G8-E-2
53,36.7708980013,-117.1147130337,307.496338,2015-10-28T18:02:08Z,G8-E-3
