"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
1422.2144,-1694.1734,0.83745,-0.20936,-0.20936,1.2329,1.0261,0.00016199,-5,0.00015787,0.00013585,0.0054269,0.16581,1.8113,0.28199,58.4672,47.6443,-5,0,0.55,0.67494,0.81489,0.10786,0.22375,0.10786,1.87,0.39009,
575.1277,-1694.1734,2.5444,-0.84546,-1.0548,2.8715,1.0261,0.00016199,-4.5,,0.00013585,,,,,,,-4.5,0,,,,1.6352,1.9875,0.22375,1.7499,0.18094,
232.6753,-684.9048,2.4804,-1.2562,-2.311,10.0847,3.239,0.00051136,-4,,0.00043172,,,,,,,-4,0,,,,0.16847,0.39551,0.16934,1.6352,0.29598,
94.2318,-276.887,2.3924,-1.2182,-3.5292,34.098,11.0457,0.0017438,-3.5,,0.0014809,,,,,,,-3.5,0,,,,,,0.13655,1.9875,0.31573,
38.2632,-111.9373,2.2651,-1.1644,-4.6936,109.2488,35.8367,0.0056577,-3,,0.0048212,,,,,,,-3,0,,,,,,0.21915,1.7802,0.16847,
15.6367,-45.253,2.071,-1.084,-5.7777,323.0039,108.0632,0.01706,-2.5,,0.014515,,,,,,,-2.5,0,,,,,,0.11417,1.8177,0.39551,
6.4894,-18.2945,1.7616,-0.95815,-6.7358,842.0269,291.2577,0.045982,-2,,0.027795,,,,,,,-2,0.010977,,,,,,,,,
2.7915,-7.3959,1.2616,-0.75579,-7.4916,1792.9168,658.7359,0.104,-1.5,,-0.038176,,,,,,,-1.5,0.12514,,,,,,,,,
1.2965,-2.99,0.4757,-0.43432,-7.9259,2768.1063,1140.2558,0.18002,-1,,-0.05019,,,,,,,-1,0.21789,,,,,,,,,
0.69213,-1.2088,-0.34653,-0.032293,-7.9582,2858.9545,1406.7652,0.22209,-0.5,,0.010742,,,,,,,-0.5,0.21186,,,,,,,,,
0.4478,-0.48866,-1.1508,0.37434,-7.5839,1966.223,1206.2944,0.19044,0,,0.0044619,,,,,,,0,0.17728,,,,,,,,,
0.34902,-0.19755,-1.5356,0.67162,-6.9123,1004.5067,742.6824,0.11725,0.5,,-0.0088806,,,,,,,0.5,0.11581,,,,,,,,,
0.30909,-0.079865,-1.5664,0.77552,-6.1367,462.539,366.7614,0.057902,1,,0.00054782,,,,,,,1,0.061471,,,,,,,,,
0.29295,-0.032287,-1.4346,0.75026,-5.3865,218.4318,170.2427,0.026877,1.5,,-0.003514,,,,,,,1.5,0.040615,,,,,,,,,
0.28642,-0.013053,-1.2658,0.67509,-4.7114,111.2063,82.4095,0.01301,2,,0.0054373,,,,,,,2,0.018112,,,,,,,,,
0.28378,-0.0052768,-1.1095,0.59381,-4.1176,61.4105,43.1542,0.0068129,2.5,,0.0098459,,,,,,,2.5,0.0060373,,,,,,,,,
0.28271,-0.0021333,-0.97782,0.52182,-3.5958,36.4435,24.4635,0.0038622,3,,0.0041524,,,,,,,3,0.007135,,,,,,,,,
0.28228,-0.00086241,-0.86998,0.46195,-3.1338,22.9613,14.8512,0.0023446,3.5,,0.0028811,,,,,,,3.5,0.0054885,,,,,,,,,
0.28211,-0.00034865,-0.78182,0.41295,-2.7209,15.1934,9.5387,0.0015059,4,,0.0058727,,,,,,,4,0.00054885,,,,,,,,,
0.28204,-0.00014095,-0.70913,0.37274,-2.3481,10.4659,6.4148,0.0010127,4.5,,0.0039668,,,,,,,4.5,0.0010977,,,,,,,,,
0.28201,-5.6981e-05,-0.6485,0.33941,-2.0087,7.4537,4.4799,0.00070726,5,,0.0035364,,,,,,,5,0.00054885,,,,,,,,,
0.282,-2.3036e-05,-0.5973,0.31145,-1.6973,5.459,3.2282,0.00050965,5.5,,,,,,,,,,,,,,,,,,,
0.28199,-9.3127e-06,-0.55353,0.28771,-1.4096,4.0941,2.3883,0.00037705,6,,,,,,,,,,,,,,,,,,,

