"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
587.9211,-652.2925,0.82212,-0.20553,-0.20553,1.2282,0.95537,0.00034086,-5,0.00035679,0.00015417,0.0041316,0.17879,1.6195,0.30808,57.6246,39.3817,-5,0,0.55,0.80478,0.68342,0.10433,0.25325,0.10433,1.7993,0.42783,
261.7749,-652.2925,2.1675,-0.7474,-0.95293,2.5933,0.95537,0.00034086,-4.5,,0.00015417,,,,,,,-4.5,0,,,,1.4245,1.8145,0.25325,1.4861,0.19812,
116.6515,-290.2468,2.1167,-1.071,-2.024,7.5683,2.5404,0.00090639,-4,,0.00046764,,,,,,,-4,0,,,,0.1883,0.42786,0.24819,1.4245,0.22292,
52.0767,-129.1495,2.0473,-1.041,-3.065,21.4339,7.2506,0.0025869,-3.5,,0.0015311,,,,,,,-3.5,0,,,,,,0.1256,1.8145,0.38248,
23.3433,-57.4669,1.9484,-0.99893,-4.0639,58.2009,19.9087,0.0071032,-3,,0.0048034,,,,,,,-3,0,,,,,,0.25183,1.5071,0.1883,
10.5579,-25.5707,1.8027,-0.93778,-5.0017,148.663,51.716,0.018452,-2.5,,0.014132,,,,,,,-2.5,0,,,,,,0.11163,1.741,0.42786,
4.8689,-11.3781,1.5869,-0.84741,-5.8491,346.92,123.8957,0.044204,-2,,0.020808,,,,,,,-2,0.016901,,,,,,,,,
2.3375,-5.0628,1.2952,-0.72055,-6.5696,713.1125,265.0081,0.094551,-1.5,,-0.047477,,,,,,,-1.5,0.13521,,,,,,,,,
1.2111,-2.2528,1.176,-0.61781,-7.1875,1322.7266,508.9598,0.18159,-1,,-0.007657,,,,,,,-1,0.19155,,,,,,,,,
0.70989,-1.0024,-1.3565,0.045127,-7.1423,1264.363,646.7724,0.23076,-0.5,,0.0056759,,,,,,,-0.5,0.22676,,,,,,,,,
0.48687,-0.44603,-1.0001,0.58916,-6.5532,701.4633,491.4566,0.17535,0,,-0.0091384,,,,,,,0,0.17113,,,,,,,,,
0.38764,-0.19847,-1.1467,0.5367,-6.0165,410.1258,277.8973,0.09915,0.5,,-0.021642,,,,,,,0.5,0.10775,,,,,,,,,
0.34348,-0.088312,-1.1537,0.57511,-5.4414,230.7547,160.2201,0.057164,1,,-0.0097926,,,,,,,1,0.064789,,,,,,,,,
0.32383,-0.039296,-1.0669,0.55517,-4.8862,132.448,90.8007,0.032397,1.5,,-0.006764,,,,,,,1.5,0.043662,,,,,,,,,
0.31509,-0.017485,-0.95105,0.5045,-4.3817,79.9733,53.1053,0.018947,2,,0.0077552,,,,,,,2,0.01831,,,,,,,,,
0.3112,-0.0077803,-0.83894,0.4475,-3.9342,51.121,32.7736,0.011693,2.5,,0.0059388,,,,,,,2.5,0.01338,,,,,,,,,
0.30947,-0.0034619,-0.74154,0.39512,-3.5391,34.4351,21.389,0.0076313,3,,0.008573,,,,,,,3,0.006338,,,,,,,,,
0.3087,-0.0015404,-0.66017,0.35043,-3.1886,24.2557,14.6727,0.005235,3.5,,0.0083711,,,,,,,3.5,0.0035211,,,,,,,,,
0.30836,-0.00068544,-0.59288,0.31326,-2.8754,17.7323,10.497,0.0037452,4,,0.009033,,,,,,,4,0.00070423,,,,,,,,,
0.3082,-0.000305,-0.53709,0.28249,-2.5929,13.3685,7.7752,0.0027741,4.5,,0.0081435,,,,,,,4.5,0,,,,,,,,,
0.30814,-0.00013571,-0.49046,0.25689,-2.336,10.3399,5.9271,0.0021147,5,,0.0069295,,,,,,,5,0,,,,,,,,,
0.30811,-6.0387e-05,-0.45107,0.23538,-2.1006,8.1713,4.6278,0.0016511,5.5,,,,,,,,,,,,,,,,,,,
0.30809,-2.687e-05,-0.41745,0.21713,-1.8835,6.5765,3.6869,0.0013155,6,,,,,,,,,,,,,,,,,,,

