"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
1463.096,-1757.0941,0.84311,-0.21078,-0.21078,1.2346,1.0386,0.00013897,-5,0.0001338,0.00011501,0.0063973,0.15112,1.8356,0.30174,52.6569,43.3201,-5,0,0.55,0.66854,0.82268,0.095532,0.2067,0.095532,1.9101,0.40758,
584.5489,-1757.0941,2.5998,-0.86074,-1.0715,2.9198,1.0386,0.00013897,-4.5,,0.00011501,,,,,,,-4.5,0,,,,1.6223,2.0488,0.2067,1.7856,0.20055,
233.6529,-701.792,2.5348,-1.2837,-2.3552,10.54,3.3649,0.00045024,-4,,0.00037404,,,,,,,-4,0,,,,0.18591,0.41758,0.15257,1.6223,0.31894,
93.5033,-280.2991,2.445,-1.245,-3.6001,36.6031,11.7858,0.001577,-3.5,,0.0013137,,,,,,,-3.5,0,,,,,,0.12406,2.0488,0.33008,
37.5269,-111.9528,2.3146,-1.1899,-4.79,120.3059,39.2273,0.0052488,-3,,0.0043718,,,,,,,-3,0,,,,,,0.20191,1.8202,0.18591,
15.1697,-44.7145,2.1146,-1.1073,-5.8973,364.0691,121.0938,0.016203,-2.5,,0.012653,,,,,,,-2.5,0.00076307,,,,,,0.10156,1.8396,0.41758,
6.2401,-17.8592,1.7951,-0.97744,-6.8748,967.5649,332.9085,0.044545,-2,,0.02109,,,,,,,-2,0.015261,,,,,,,,,
2.6735,-7.133,1.2856,-0.77019,-7.645,2090.1058,764.4177,0.10228,-1.5,,-0.025654,,,,,,,-1.5,0.10797,,,,,,,,,
1.2491,-2.849,0.59889,-0.47113,-8.1161,3347.938,1359.5109,0.18191,-1,,-0.067631,,,,,,,-1,0.23235,,,,,,,,,
0.6801,-1.1379,-0.50723,-0.022913,-8.139,3425.5351,1693.3683,0.22658,-0.5,,0.0086315,,,,,,,-0.5,0.21595,,,,,,,,,
0.45286,-0.45448,-1.1931,0.42509,-7.7139,2239.3199,1416.2138,0.1895,0,,0.011293,,,,,,,0,0.17131,,,,,,,,,
0.3621,-0.18152,-1.4909,0.671,-7.0429,1144.7296,846.0124,0.1132,0.5,,-0.0043438,,,,,,,0.5,0.10988,,,,,,,,,
0.32585,-0.072501,-1.4753,0.74156,-6.3014,545.3146,422.5111,0.056534,1,,-0.0060967,,,,,,,1,0.068295,,,,,,,,,
0.31137,-0.028957,-1.3312,0.70164,-5.5997,270.3503,203.9162,0.027285,1.5,,0.0020712,,,,,,,1.5,0.036246,,,,,,,,,
0.30559,-0.011566,-1.1663,0.62439,-4.9753,144.7965,103.7867,0.013887,2,,0.0026004,,,,,,,2,0.02251,,,,,,,,,
0.30328,-0.0046194,-1.0189,0.54631,-4.429,83.8488,57.1613,0.0076484,2.5,,0.0079147,,,,,,,2.5,0.0095383,,,,,,,,,
0.30236,-0.001845,-0.89674,0.47892,-3.9501,51.9402,33.9472,0.0045423,3,,0.008545,,,,,,,3,0.0041969,,,,,,,,,
0.30199,-0.0007369,-0.79737,0.42353,-3.5266,34.0069,21.4868,0.002875,3.5,,0.007006,,,,,,,3.5,0.0026707,,,,,,,,,
0.30184,-0.00029432,-0.71641,0.37845,-3.1481,23.2922,14.3248,0.0019167,4,,0.006821,,,,,,,4,0.00076307,,,,,,,,,
0.30178,-0.00011755,-0.64979,0.34155,-2.8066,16.553,9.9613,0.0013329,4.5,,0.004189,,,,,,,4.5,0.0019077,,,,,,,,,
0.30176,-4.6951e-05,-0.59426,0.31101,-2.4956,12.1285,7.1704,0.00095943,5,,0.0046219,,,,,,,5,0.00038153,,,,,,,,,
0.30175,-1.8753e-05,-0.54737,0.28541,-2.2101,9.1171,5.3114,0.00071069,5.5,,,,,,,,,,,,,,,,,,,
0.30175,-7.4899e-06,-0.5073,0.26367,-1.9465,7.004,4.0303,0.00053927,6,,,,,,,,,,,,,,,,,,,

