"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
585.3865,-624.5212,0.82421,-0.20605,-0.20605,1.2288,0.93169,0.00043167,-5,0.00046332,0.00019146,0.0028993,0.28505,1.5254,0.18696,51.3685,30.2862,-5,0,0.55,0.93286,0.58959,0.21223,0.35787,0.21223,1.6901,0.28653,
273.1259,-624.5212,2.0134,-0.70941,-0.91547,2.4979,0.93169,0.00043167,-4.5,,0.00019146,,,,,,,-4.5,0,,,,1.3604,1.6904,0.35787,1.399,0.091626,
127.4865,-291.2787,1.9729,-0.99659,-1.9121,6.767,2.3162,0.0010732,-4,,0.0005398,,,,,,,-4,0,,,,0.087325,0.2866,0.35765,1.3604,0.10791,
59.5599,-135.8533,1.9188,-0.97293,-2.885,17.9034,6.1676,0.0028576,-3.5,,0.0016419,,,,,,,-3.5,0,,,,,,0.22662,1.6904,0.25617,
27.8787,-63.3624,1.844,-0.94071,-3.8257,45.8647,15.942,0.0073862,-3,,0.0048382,,,,,,,-3,0,,,,,,0.35427,1.4199,0.087325,
13.1025,-29.5524,1.7372,-0.8953,-4.721,112.2801,39.5362,0.018318,-2.5,,0.013621,,,,,,,-2.5,0,,,,,,0.21944,1.6474,0.2866,
6.2108,-13.7833,1.5816,-0.82969,-5.5507,257.4151,92.4238,0.042822,-2,,0.011887,,,,,,,-2,0.023941,,,,,,,,,
2.9965,-6.4286,1.3609,-0.73561,-6.2863,537.162,198.6443,0.092036,-1.5,,-0.043657,,,,,,,-1.5,0.12891,,,,,,,,,
1.4973,-2.9983,1.1349,-0.62393,-6.9102,1002.4802,384.9106,0.17834,-1,,0.0015515,,,,,,,-1,0.17753,,,,,,,,,
0.79813,-1.3984,-1.2744,0.034884,-6.8753,968.113,492.6483,0.22825,-0.5,,0.0062864,,,,,,,-0.5,0.22284,,,,,,,,,
0.47201,-0.65223,-0.652,0.4816,-6.3937,598.0933,391.5516,0.18141,0,,-0.016503,,,,,,,0,0.18785,,,,,,,,,
0.31991,-0.3042,-1.1406,0.44815,-5.9456,382.0656,245.0397,0.11353,0.5,,-0.011305,,,,,,,0.5,0.11455,,,,,,,,,
0.24897,-0.14188,-1.4644,0.65126,-5.2943,199.2048,145.3176,0.067328,1,,-0.0034345,,,,,,,1,0.069982,,,,,,,,,
0.21588,-0.066174,-1.5568,0.7553,-4.539,93.6,73.2012,0.033915,1.5,,0.005574,,,,,,,1.5,0.034622,,,,,,,,,
0.20045,-0.030864,-1.4972,0.7635,-3.7755,43.6207,34.3052,0.015894,2,,0.0025749,,,,,,,2,0.021731,,,,,,,,,
0.19325,-0.014395,-1.3739,0.71778,-3.0577,21.2796,16.2251,0.0075174,2.5,,0.0093857,,,,,,,2.5,0.0058932,,,,,,,,,
0.1899,-0.0067138,-1.2386,0.65314,-2.4046,11.0741,8.0884,0.0037475,3,,0.0041986,,,,,,,3,0.0058932,,,,,,,,,
0.18833,-0.0031313,-1.1131,0.58793,-1.8167,6.1514,4.3064,0.0019952,3.5,,0.0047781,,,,,,,3.5,0.0022099,,,,,,,,,
0.1876,-0.0014605,-1.0037,0.52919,-1.2875,3.6237,2.4438,0.0011322,4,,0.002094,,,,,,,4,0.0029466,,,,,,,,,
0.18726,-0.00068117,-0.9105,0.47854,-0.80895,2.2456,1.4673,0.00067983,4.5,,0.0030256,,,,,,,4.5,0.00073665,,,,,,,,,
0.1871,-0.0003177,-0.83153,0.43551,-0.37345,1.4527,0.92457,0.00042837,5,,0.0025205,,,,,,,5,0.00036832,,,,,,,,,
0.18703,-0.00014818,-0.7644,0.39898,0.025535,0.97479,0.60688,0.00028118,5.5,,,,,,,,,,,,,,,,,,,
0.18699,-6.911e-05,-0.70692,0.36783,0.39336,0.67478,0.41239,0.00019107,6,,,,,,,,,,,,,,,,,,,

