"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
644.7567,-716.2513,0.82857,-0.20714,-0.20714,1.2302,0.96005,0.00031688,-5,0.00033007,0.00013897,0.0038331,0.19325,1.6224,0.28156,51.3523,34.5558,-5,0,0.55,0.81734,0.67292,0.12,0.26649,0.12,1.8011,0.39691,
286.6311,-716.2513,2.1803,-0.75222,-0.95936,2.61,0.96005,0.00031688,-4.5,,0.00013897,,,,,,,-4.5,0,,,,1.4337,1.8112,0.26649,1.4914,0.1744,
127.5107,-318.2407,2.1309,-1.0778,-2.0372,7.6688,2.5697,0.00084818,-4,,0.00042536,,,,,,,-4,0,,,,0.16622,0.39691,0.26543,1.4337,0.19274,
56.8113,-141.3989,2.0638,-1.0487,-3.0858,21.8859,7.3887,0.0024388,-3.5,,0.001407,,,,,,,-3.5,0,,,,,,0.13852,1.8112,0.35711,
25.3985,-62.8255,1.9685,-1.0081,-4.0939,59.9745,20.4651,0.0067549,-3,,0.0044684,,,,,,,-3,0,,,,,,0.2647,1.5112,0.16622,
11.4414,-27.9143,1.8287,-0.9493,-5.0432,154.9675,53.7355,0.017736,-2.5,,0.013355,,,,,,,-2.5,0,,,,,,0.12725,1.7456,0.39691,
5.24,-12.4027,1.6209,-0.86239,-5.9056,367.0906,130.5145,0.043079,-2,,0.021024,,,,,,,-2,0.015363,,,,,,,,,
2.4847,-5.5107,1.334,-0.73872,-6.6443,768.4125,283.8758,0.093698,-1.5,,-0.038179,,,,,,,-1.5,0.125,,,,,,,,,
1.2604,-2.4485,1.1697,-0.6259,-7.2702,1436.8778,551.3226,0.18197,-1,,-0.019787,,,,,,,-1,0.20391,,,,,,,,,
0.71649,-1.0879,-1.2813,0.027924,-7.2423,1397.3098,708.5469,0.23387,-0.5,,0.015299,,,,,,,-0.5,0.21997,,,,,,,,,
0.47481,-0.48337,-0.99308,0.56861,-6.6737,791.3163,547.1565,0.1806,0,,-0.012878,,,,,,,0,0.18017,,,,,,,,,
0.36743,-0.21477,-1.2113,0.5511,-6.1226,456.0459,311.8406,0.10293,0.5,,-0.023584,,,,,,,0.5,0.11383,,,,,,,,,
0.31971,-0.095424,-1.2577,0.61726,-5.5053,246.0012,175.5118,0.057931,1,,-0.0092072,,,,,,,1,0.065642,,,,,,,,,
0.29852,-0.042398,-1.1811,0.6097,-4.8956,133.705,94.9265,0.031332,1.5,,0.0037256,,,,,,,1.5,0.032821,,,,,,,,,
0.2891,-0.018838,-1.0604,0.56039,-4.3353,76.3441,52.5123,0.017333,2,,0.0046123,,,,,,,2,0.020251,,,,,,,,,
0.28491,-0.0083701,-0.93843,0.49972,-3.8355,46.3182,30.6656,0.010122,2.5,,0.0087169,,,,,,,2.5,0.0090782,,,,,,,,,
0.28305,-0.0037189,-0.8306,0.44226,-3.3933,29.7633,19.0204,0.006278,3,,0.007727,,,,,,,3,0.0055866,,,,,,,,,
0.28223,-0.0016524,-0.73982,0.39261,-3.0007,20.099,12.4656,0.0041145,3.5,,0.0054421,,,,,,,3.5,0.0048883,,,,,,,,,
0.28186,-0.00073417,-0.66449,0.35108,-2.6496,14.1483,8.5618,0.002826,4,,0.0047633,,,,,,,4,0.0034916,,,,,,,,,
0.2817,-0.0003262,-0.60195,0.31661,-2.333,10.3086,6.1142,0.0020181,4.5,,0.0067552,,,,,,,4.5,0,,,,,,,,,
0.28162,-0.00014494,-0.54963,0.28789,-2.0451,7.7298,4.5096,0.0014885,5,,0.0056364,,,,,,,5,0,,,,,,,,,
0.28159,-6.4398e-05,-0.50543,0.26377,-1.7813,5.9377,3.4169,0.0011278,5.5,,,,,,,,,,,,,,,,,,,
0.28158,-2.8613e-05,-0.46771,0.24329,-1.538,4.6554,2.6483,0.00087411,6,,,,,,,,,,,,,,,,,,,

