"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
618.7301,-693.5959,0.82183,-0.20546,-0.20546,1.2281,0.96262,0.00031446,-5,0.00032667,0.00011669,0.0083795,0.16522,1.6455,0.31365,57.018,40.3377,-5,0,0.55,0.77743,0.70745,0.062068,0.26837,0.062068,1.8908,0.48762,
271.9322,-693.5959,2.2127,-0.75863,-0.96409,2.6224,0.96262,0.00031446,-4.5,,0.00011669,,,,,,,-4.5,0,,,,1.3774,1.9136,0.26837,1.4836,0.15508,
119.6129,-304.6386,2.1595,-1.093,-2.0571,7.8235,2.6115,0.0008531,-4,,0.00037526,,,,,,,-4,0,,,,0.13968,0.48762,0.2577,1.3774,0.20007,
52.7118,-133.8022,2.0865,-1.0615,-3.1186,22.6153,7.6097,0.0024859,-3.5,,0.0013034,,,,,,,-3.5,0,,,,,,0.096673,1.9136,0.41743,
23.3278,-58.7681,1.9822,-1.0172,-4.1358,62.5399,21.2888,0.0069545,-3,,0.0043125,,,,,,,-3,0,,,,,,0.26714,1.5086,0.13968,
10.4218,-25.8119,1.828,-0.95255,-5.0884,162.1233,56.1658,0.018348,-2.5,,0.013234,,,,,,,-2.5,0,,,,,,0.073097,1.7993,0.48762,
4.7533,-11.337,1.5993,-0.85682,-5.9452,381.9059,136.0073,0.04443,-2,,0.03368,,,,,,,-2,0.0024969,,,,,,,,,
2.2636,-4.9794,1.2937,-0.72326,-6.6684,787.1583,292.266,0.095475,-1.5,,-0.04443,,,,,,,-1.5,0.12921,,,,,,,,,
1.1701,-2.187,1.2299,-0.6309,-7.2993,1479.312,566.6176,0.1851,-1,,-0.043391,,,,,,,-1,0.23034,,,,,,,,,
0.68982,-0.96058,-1.3955,0.041401,-7.2579,1419.3177,724.6574,0.23673,-0.5,,0.030867,,,,,,,-0.5,0.20849,,,,,,,,,
0.47887,-0.4219,-1.0976,0.62327,-6.6347,761.0236,545.0853,0.17806,0,,-0.0183,,,,,,,0,0.17728,,,,,,,,,
0.38622,-0.18531,-1.2132,0.57769,-6.057,427.0798,297.0259,0.09703,0.5,,-0.03299,,,,,,,0.5,0.11111,,,,,,,,,
0.34552,-0.08139,-1.1914,0.60114,-5.4558,234.1192,165.2998,0.053999,1,,-0.011699,,,,,,,1,0.062422,,,,,,,,,
0.32765,-0.035748,-1.0866,0.5695,-4.8863,132.466,91.6463,0.029938,1.5,,0.0057447,,,,,,,1.5,0.029963,,,,,,,,,
0.3198,-0.015701,-0.96141,0.51201,-4.3743,79.3856,52.9629,0.017302,2,,-0.00080755,,,,,,,2,0.027466,,,,,,,,,
0.31635,-0.0068961,-0.84485,0.45156,-3.9228,50.5394,32.4812,0.010611,2.5,,0.010223,,,,,,,2.5,0.010612,,,,,,,,,
0.31483,-0.0030289,-0.74542,0.39757,-3.5252,33.96,21.1249,0.0069009,3,,0.012501,,,,,,,3,0.0043695,,,,,,,,,
0.31417,-0.0013303,-0.66314,0.35214,-3.173,23.88,14.46,0.0047237,3.5,,0.01092,,,,,,,3.5,0.0031211,,,,,,,,,
0.31388,-0.0005843,-0.59544,0.31464,-2.8584,17.4336,10.3284,0.003374,4,,0.01007,,,,,,,4,0.0018727,,,,,,,,,
0.31375,-0.00025664,-0.53945,0.28372,-2.5747,13.1271,7.6402,0.0024958,4.5,,0.0090853,,,,,,,4.5,0.0012484,,,,,,,,,
0.31369,-0.00011272,-0.49271,0.25804,-2.3166,10.1415,5.8171,0.0019003,5,,0.0090677,,,,,,,5,0,,,,,,,,,
0.31367,-4.9508e-05,-0.45325,0.23649,-2.0801,8.0056,4.5368,0.001482,5.5,,,,,,,,,,,,,,,,,,,
0.31366,-2.1745e-05,-0.41956,0.2182,-1.8619,6.4362,3.6105,0.0011794,6,,,,,,,,,,,,,,,,,,,

