"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
543.3834,-599.8008,0.79889,-0.19972,-0.19972,1.2211,0.93838,0.00042394,-5,0.00045178,0.00018672,0.0075296,0.17597,1.6069,0.30828,51.8128,37.2669,-5,0,0.55,0.76467,0.71926,0.077642,0.2743,0.077642,1.8029,0.46935,
243.483,-599.8008,2.1189,-0.72946,-0.92918,2.5324,0.93838,0.00042394,-4.5,,0.00018672,,,,,,,-4.5,0,,,,1.365,1.8489,0.2743,1.4599,0.16375,
109.1955,-268.575,2.0646,-1.0459,-1.9751,7.2071,2.4349,0.0011,-4,,0.00055488,,,,,,,-4,0,,,,0.14721,0.46935,0.25654,1.365,0.21458,
49.0651,-120.2608,1.9903,-1.0137,-2.9888,19.8621,6.7673,0.0030573,-3.5,,0.0017749,,,,,,,-3.5,0,,,,,,0.11221,1.8489,0.39828,
22.1403,-53.8496,1.8847,-0.96876,-3.9576,52.3303,18.0481,0.0081538,-3,,0.0054119,,,,,,,-3,0,,,,,,0.27331,1.4842,0.14721,
10.0841,-24.1124,1.7296,-0.90357,-4.8611,129.1725,45.3757,0.0205,-2.5,,0.015349,,,,,,,-2.5,0,,,,,,0.087241,1.7338,0.46935,
4.6856,-10.7969,1.5011,-0.80767,-5.6688,289.6918,104.7161,0.047309,-2,,0.025319,,,,,,,-2,0.013728,,,,,,,,,
2.2683,-4.8346,1.1947,-0.67396,-6.3428,568.3728,214.5162,0.096914,-1.5,,-0.040641,,,,,,,-1.5,0.12672,,,,,,,,,
1.1859,-2.1648,1.095,-0.57244,-6.9152,1007.4894,393.9655,0.17799,-1,,-0.044928,,,,,,,-1,0.22386,,,,,,,,,
0.70128,-0.96934,-1.1584,0.015847,-6.8994,991.6492,499.7847,0.22579,-0.5,,0.02574,,,,,,,-0.5,0.2038,,,,,,,,,
0.48425,-0.43404,-1.0401,0.54963,-6.3497,572.3455,390.9987,0.17664,0,,-0.0045703,,,,,,,0,0.16473,,,,,,,,,
0.38708,-0.19435,-1.1963,0.55909,-5.7906,327.225,224.8926,0.1016,0.5,,-0.036451,,,,,,,0.5,0.11985,,,,,,,,,
0.34356,-0.087026,-1.2,0.59908,-5.1916,179.7509,126.744,0.05726,1,,-0.01369,,,,,,,1,0.067582,,,,,,,,,
0.32408,-0.038968,-1.1088,0.5772,-4.6144,100.9244,70.1688,0.031701,1.5,,-0.0044044,,,,,,,1.5,0.041711,,,,,,,,,
0.31536,-0.017449,-0.98875,0.52438,-4.09,59.7393,40.1659,0.018146,2,,0.010411,,,,,,,2,0.016895,,,,,,,,,
0.31145,-0.0078131,-0.87299,0.46544,-3.6246,37.5079,24.3118,0.010984,2.5,,0.014068,,,,,,,2.5,0.0068638,,,,,,,,,
0.3097,-0.0034985,-0.77243,0.41136,-3.2132,24.8584,15.5916,0.007044,3,,0.010841,,,,,,,3,0.0058078,,,,,,,,,
0.30892,-0.0015665,-0.68832,0.36519,-2.848,17.2534,10.528,0.0047563,3.5,,0.0072998,,,,,,,3.5,0.0063358,,,,,,,,,
0.30857,-0.00070146,-0.61867,0.32675,-2.5213,12.4443,7.4244,0.0033542,4,,0.0098459,,,,,,,4,0.0015839,,,,,,,,,
0.30841,-0.00031409,-0.56085,0.29488,-2.2264,9.2663,5.4277,0.0024521,4.5,,0.0092332,,,,,,,4.5,0.00052798,,,,,,,,,
0.30834,-0.00014064,-0.51246,0.26833,-1.9581,7.0855,4.088,0.0018469,5,,0.0084637,,,,,,,5,0,,,,,,,,,
0.30831,-6.2976e-05,-0.47155,0.246,-1.7121,5.5403,3.1565,0.001426,5.5,,,,,,,,,,,,,,,,,,,
0.30829,-2.8199e-05,-0.43658,0.22703,-1.485,4.4151,2.4888,0.0011244,6,,,,,,,,,,,,,,,,,,,

