xi,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,loc_13,loc_14,loc_15,loc_16,loc_17,loc_18,loc_19,loc_20,loc_21,loc_22,loc_23
-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
-1.5,0,0,0,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.0408,0,0.01,0
-1,0,0.109,0.141,0.18,0.12,0.19,0.18,0.0594,0,0.188,0.109,0.23,0,0,0.06,0.222,0.05,0.13,0.14,0.143,0.0198,0.15,0.21
-0.5,0.45,0.347,0.208,0.14,0.21,0.12,0.21,0.287,0.34,0.208,0.188,0.15,0.414,0.46,0.28,0.121,0.45,0.15,0.29,0.122,0.366,0.16,0.18
0,0.27,0.099,0.228,0.22,0.18,0.2,0.17,0.257,0.28,0.109,0.297,0.11,0.192,0.23,0.27,0.162,0.14,0.21,0.16,0.204,0.208,0.17,0.19
0.5,0.05,0.129,0.201,0.21,0.15,0.17,0.17,0.178,0.22,0.218,0.198,0.18,0.152,0.09,0.21,0.242,0.09,0.18,0.12,0.224,0.178,0.21,0.11
1,0.05,0.158,0.094,0.11,0.13,0.16,0.09,0.0891,0.08,0.139,0.0891,0.16,0.0707,0.05,0.08,0.0909,0.04,0.16,0.1,0.112,0.0792,0.13,0.12
1.5,0.1,0.0891,0.0604,0.06,0.09,0.06,0.12,0.0594,0.02,0.0495,0.0693,0.11,0.121,0.07,0.03,0.0808,0.15,0.04,0.09,0.0918,0.0693,0.08,0.11
2,0.03,0.0099,0.0336,0.02,0.05,0.04,0.04,0.0198,0.03,0.0594,0.0099,0.03,0.0404,0.04,0.01,0.0404,0.04,0.05,0.04,0.0306,0.0297,0.05,0.06
2.5,0.03,0.0297,0.0201,0.03,0.01,0.02,0.01,0.0099,0.01,0.0099,0.0099,0.03,0.0101,0.01,0.02,0.0202,0.03,0.02,0.06,0.0204,0.0297,0.01,0.01
3,0,0.0198,0.00671,0.01,0.02,0.01,0,0.0297,0,0.0099,0.0099,0,0,0.04,0.01,0.0101,0,0.02,0,0,0,0,0.01
3.5,0,0.0099,0,0.01,0,0.01,0,0,0.01,0.0099,0.0099,0,0,0.01,0.01,0.0101,0.01,0,0,0,0,0,0
4,0,0,0.00671,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.0102,0.0099,0.01,0
4.5,0.02,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0.0099,0,0
5,0,0,0,0,0,0,0,0.0099,0,0,0.0099,0,0,0,0,0,0,0,0,0,0,0,0
