xi,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8
-4.5,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0
-3.5,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0
-2.5,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0
-1.5,0,0,0,0,0.01,0,0,0
-1,0,0,0,0,0.07,0.19,0.29,0.12
-0.5,0.276,0.43,0.434,0.44,0.27,0.15,0.06,0.27
0,0.418,0.25,0.202,0.22,0.25,0.18,0.15,0.19
0.5,0.153,0.06,0.141,0.11,0.16,0.23,0.15,0.16
1,0.102,0.1,0.101,0.08,0.11,0.1,0.16,0.11
1.5,0.0306,0.07,0.0505,0.06,0.07,0.07,0.14,0.06
2,0.0102,0.03,0.0303,0.03,0.01,0.03,0.03,0.05
2.5,0,0.01,0.0303,0.01,0.01,0.03,0.02,0.02
3,0.0102,0.04,0.0101,0.04,0.02,0.01,0,0
3.5,0,0,0,0.01,0.01,0.01,0,0.01
4,0,0.01,0,0,0.01,0,0,0.01
4.5,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
