xi,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,loc_13,loc_14,loc_15,loc_16,loc_17,loc_18
-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.5,0,0,0,0,0.07,0.0495,0.0098,0,0,0,0,0,0,0,0.07,0,0,0
-1,0.11,0.12,0.111,0.14,0.15,0.099,0.147,0.01,0,0.19,0.15,0.18,0.12,0.23,0.14,0.17,0.15,0.06
-0.5,0.28,0.22,0.202,0.22,0.07,0.198,0.137,0.41,0.336,0.15,0.17,0.25,0.22,0.1,0.15,0.22,0.27,0.3
0,0.19,0.23,0.313,0.21,0.13,0.208,0.255,0.17,0.336,0.24,0.29,0.1,0.24,0.18,0.13,0.18,0.18,0.21
0.5,0.14,0.26,0.162,0.14,0.31,0.119,0.206,0.19,0.151,0.15,0.18,0.13,0.18,0.24,0.2,0.14,0.13,0.17
1,0.12,0.02,0.101,0.14,0.11,0.168,0.098,0.1,0.0504,0.15,0.08,0.17,0.11,0.15,0.16,0.12,0.1,0.15
1.5,0.06,0.05,0.0505,0.07,0.08,0.0891,0.0686,0.06,0.0588,0.02,0.05,0.09,0.05,0.03,0.05,0.08,0.1,0.05
2,0.05,0.04,0.0404,0.05,0.04,0.0396,0.0588,0.02,0.0252,0.05,0.03,0.04,0.04,0.05,0.07,0.05,0.02,0.02
2.5,0.04,0.04,0.0101,0.01,0.04,0.0099,0,0.01,0.0084,0.04,0.01,0.02,0.01,0,0.03,0.02,0.03,0
3,0,0,0,0.01,0,0,0,0,0.0252,0,0.02,0.02,0,0,0,0.01,0.01,0.01
3.5,0.01,0.01,0.0101,0,0,0.0198,0,0.01,0.0084,0,0.01,0,0.01,0.01,0,0.01,0.01,0.01
4,0,0.01,0,0.01,0,0,0.0196,0.01,0,0,0.01,0,0.02,0,0,0,0,0.02
4.5,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0
