xi,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,loc_13,loc_14
-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.5,0,0,0,0,0,0.05,0,0,0.02,0,0.08,0.07,0.02,0
-1,0.11,0.218,0.16,0.14,0.0909,0.12,0.13,0.2,0.16,0.13,0.06,0.09,0.11,0.17
-0.5,0.23,0.127,0.2,0.2,0.255,0.12,0.22,0.19,0.18,0.27,0.14,0.15,0.19,0.21
0,0.3,0.191,0.28,0.24,0.273,0.24,0.18,0.14,0.18,0.16,0.25,0.27,0.27,0.2
0.5,0.15,0.209,0.09,0.19,0.155,0.2,0.24,0.19,0.16,0.19,0.19,0.13,0.18,0.12
1,0.08,0.0909,0.05,0.09,0.0727,0.16,0.11,0.15,0.15,0.1,0.11,0.11,0.1,0.14
1.5,0.02,0.109,0.13,0.06,0.0455,0.04,0.05,0.03,0.03,0.05,0.1,0.12,0.05,0.07
2,0.04,0.00909,0.06,0.04,0.0636,0.04,0.03,0.06,0.06,0.05,0.04,0.02,0.05,0.05
2.5,0.03,0.0182,0.01,0.01,0.0182,0,0.02,0.02,0.06,0.02,0.01,0.02,0,0.02
3,0.03,0.0182,0.02,0.01,0.0182,0.01,0,0.01,0,0.02,0.01,0.01,0.01,0.02
3.5,0.01,0.00909,0,0.01,0,0.02,0,0.01,0,0.01,0.01,0.01,0,0
4,0,0,0,0.01,0.00909,0,0.01,0,0,0,0,0,0.02,0
4.5,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
