xi,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,loc_13,loc_14,loc_15,loc_16,loc_17,loc_18
-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0
-1.5,0,0,0,0.06,0.01,0.03,0.11,0,0.02,0.03,0.01,0.04,0.04,0.00833,0.04,0,0,0
-1,0.01,0.18,0.188,0.13,0.04,0.06,0.08,0.09,0.15,0.07,0.11,0.11,0.09,0.2,0.08,0.11,0,0.05
-0.5,0.32,0.19,0.188,0.12,0.28,0.26,0.09,0.33,0.16,0.19,0.21,0.17,0.23,0.133,0.18,0.19,0.34,0.33
0,0.3,0.17,0.168,0.18,0.32,0.24,0.16,0.17,0.23,0.26,0.23,0.19,0.23,0.175,0.24,0.34,0.36,0.29
0.5,0.17,0.18,0.178,0.24,0.16,0.2,0.23,0.14,0.15,0.2,0.23,0.16,0.12,0.192,0.2,0.17,0.14,0.14
1,0.13,0.09,0.119,0.09,0.05,0.06,0.18,0.07,0.13,0.06,0.07,0.19,0.13,0.133,0.17,0.07,0.06,0.07
1.5,0.01,0.11,0.0693,0.09,0.05,0.09,0.11,0.1,0.06,0.08,0.06,0.05,0.06,0.0917,0.04,0.04,0.02,0.03
2,0.01,0.06,0.0297,0.07,0.04,0.02,0.02,0.06,0.08,0.05,0.02,0.04,0.05,0.025,0.02,0.03,0.02,0.04
2.5,0.02,0,0.0495,0.01,0.02,0.02,0.01,0.02,0,0.03,0.03,0.04,0.02,0.0333,0.01,0.02,0.01,0
3,0.01,0.01,0.0099,0.01,0,0.01,0.01,0.01,0.01,0.02,0.01,0,0.03,0,0,0.01,0.02,0.01
3.5,0,0.01,0,0,0.02,0,0,0.01,0.01,0,0.01,0,0,0.00833,0,0,0.01,0.03
4,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0.01,0.01,0,0.01
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0
5,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.01,0
