xi,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,loc_13,loc_14,loc_15,loc_16,loc_17,loc_18,loc_19,loc_20,loc_21,loc_22,loc_23,loc_24,loc_25,loc_26,loc_27
-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.5,0,0.03,0.01,0.02,0,0.0101,0.09,0.02,0.03,0.0495,0.02,0.04,0.01,0.068,0,0,0.03,0.02,0.04,0.00909,0.04,0.01,0.01,0.02,0.02,0.02,0.0297
-1,0.18,0.09,0.17,0.15,0.15,0.0808,0.12,0.1,0.17,0.139,0.13,0.13,0.15,0.0874,0.19,0.17,0.18,0.05,0.17,0.0909,0.14,0.06,0.05,0.11,0.15,0.17,0.109
-0.5,0.14,0.26,0.1,0.14,0.15,0.232,0.07,0.23,0.14,0.158,0.18,0.12,0.19,0.126,0.14,0.17,0.17,0.26,0.07,0.245,0.13,0.32,0.33,0.21,0.18,0.16,0.168
0,0.19,0.18,0.25,0.22,0.29,0.263,0.22,0.21,0.2,0.188,0.26,0.21,0.25,0.252,0.23,0.23,0.17,0.3,0.18,0.264,0.18,0.21,0.24,0.22,0.19,0.18,0.238
0.5,0.23,0.19,0.26,0.22,0.2,0.202,0.14,0.15,0.15,0.158,0.15,0.29,0.13,0.233,0.18,0.21,0.15,0.12,0.29,0.164,0.25,0.12,0.14,0.21,0.16,0.15,0.228
1,0.12,0.07,0.04,0.13,0.1,0.0909,0.23,0.13,0.14,0.158,0.11,0.1,0.13,0.117,0.1,0.09,0.15,0.1,0.11,0.0818,0.13,0.13,0.1,0.07,0.13,0.15,0.0891
1.5,0.09,0.1,0.12,0.03,0.05,0.0606,0.09,0.08,0.1,0.0693,0.06,0.04,0.04,0.0388,0.06,0.07,0.07,0.07,0.07,0.0636,0.08,0.09,0.03,0.1,0.08,0.07,0.0693
2,0.01,0.04,0.02,0.04,0.02,0.0303,0.02,0.05,0.04,0.0396,0.07,0.02,0.05,0.0388,0.07,0.01,0.03,0.02,0.05,0.0364,0.01,0.02,0.05,0.01,0.05,0.08,0.0099
2.5,0.01,0.02,0.01,0.03,0.01,0.0303,0.02,0.01,0.02,0.0297,0,0.03,0.03,0.0291,0.02,0.01,0.05,0.03,0,0.0182,0.02,0.01,0.02,0.04,0.03,0.01,0.0495
3,0.02,0.01,0,0,0,0,0,0.01,0.01,0.0099,0.01,0.01,0.01,0,0,0.01,0,0.02,0,0.0182,0,0.01,0.01,0,0,0,0
3.5,0,0.01,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0.01,0.02,0,0.02,0,0.01,0,0.01,0.01,0
4,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0.01,0.01,0,0,0
4.5,0.01,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,0.01,0.00971,0,0,0,0,0,0,0,0.01,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00909,0,0,0,0,0,0,0.0099
