xi,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,loc_13,loc_14
-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.5,0,0.04,0.0099,0.06,0.01,0,0.04,0,0.03,0,0.01,0.00833,0.01,0
-1,0.13,0.08,0.168,0.1,0.1,0.178,0.14,0.15,0.06,0.182,0.05,0.175,0.11,0.11
-0.5,0.19,0.27,0.198,0.1,0.2,0.168,0.15,0.22,0.19,0.209,0.27,0.208,0.2,0.28
0,0.23,0.2,0.188,0.27,0.27,0.198,0.19,0.22,0.31,0.127,0.3,0.167,0.26,0.17
0.5,0.24,0.14,0.119,0.24,0.2,0.218,0.18,0.12,0.2,0.173,0.15,0.142,0.19,0.22
1,0.09,0.13,0.149,0.07,0.13,0.109,0.14,0.13,0.1,0.127,0.08,0.133,0.12,0.08
1.5,0.06,0.06,0.0792,0.08,0.04,0.0495,0.1,0.08,0.05,0.1,0.05,0.0833,0.03,0.05
2,0.02,0.02,0.0495,0.04,0,0.0396,0.03,0.05,0,0.0545,0.03,0.05,0.04,0.03
2.5,0.01,0.04,0.0396,0.03,0.01,0.0198,0.02,0,0.03,0.00909,0.03,0.025,0,0.02
3,0,0.01,0,0,0.01,0.0099,0,0.01,0.01,0.0182,0.02,0,0.02,0.02
3.5,0.01,0,0,0,0.01,0,0.01,0.01,0.01,0,0,0,0.01,0.02
4,0.01,0.01,0,0.01,0.01,0.0099,0,0.01,0,0,0,0.00833,0,0
4.5,0.01,0,0,0,0.01,0,0,0,0.01,0,0.01,0,0.01,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
