xi,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9
-4.5,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0
-3.5,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0
-2.5,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0
-1.5,0,0,0,0.01,0.05,0,0,0.04,0
-1,0.09,0.04,0.13,0.22,0.11,0.118,0.15,0.12,0.1
-0.5,0.26,0.32,0.22,0.07,0.19,0.245,0.16,0.15,0.27
0,0.25,0.29,0.21,0.21,0.18,0.191,0.24,0.26,0.21
0.5,0.14,0.13,0.19,0.16,0.19,0.209,0.25,0.15,0.17
1,0.13,0.09,0.14,0.17,0.09,0.0909,0.07,0.12,0.11
1.5,0.07,0.06,0.04,0.12,0.09,0.0727,0.06,0.07,0.07
2,0.01,0.03,0.02,0.02,0.07,0.0273,0.02,0.07,0.03
2.5,0.01,0,0.02,0,0.03,0.0273,0.03,0,0
3,0.01,0.02,0.01,0.02,0,0.00909,0,0.01,0.02
3.5,0.03,0.01,0.01,0,0,0,0,0.01,0.02
4,0,0,0.01,0,0,0,0.01,0,0
4.5,0,0,0,0,0,0,0.01,0,0
5,0,0.01,0,0,0,0.00909,0,0,0
