xi,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,loc_13,loc_14,loc_15,loc_16,loc_17,loc_18
-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.5,0,0,0.01,0.0198,0,0.03,0.0545,0,0,0.06,0,0,0.0294,0.0778,0.03,0,0,0
-1,0.119,0.11,0.11,0.0891,0.21,0.12,0.0909,0.16,0.0388,0.15,0.13,0.168,0.216,0.0556,0.04,0.25,0.0792,0.12
-0.5,0.218,0.23,0.17,0.168,0.13,0.16,0.173,0.16,0.379,0.15,0.26,0.198,0.127,0.167,0.26,0.06,0.366,0.17
0,0.297,0.23,0.31,0.277,0.17,0.16,0.218,0.22,0.223,0.09,0.2,0.168,0.118,0.233,0.29,0.17,0.109,0.29
0.5,0.109,0.2,0.16,0.248,0.22,0.28,0.209,0.19,0.126,0.19,0.18,0.218,0.206,0.211,0.15,0.25,0.198,0.22
1,0.109,0.1,0.12,0.0891,0.09,0.16,0.109,0.16,0.0777,0.2,0.04,0.109,0.127,0.1,0.1,0.13,0.0891,0.11
1.5,0.0495,0.04,0.05,0.0693,0.07,0.06,0.0545,0.04,0.0485,0.09,0.09,0.0594,0.108,0.0778,0.06,0.07,0.0693,0.02
2,0.0396,0.05,0.02,0,0.09,0,0.0545,0.03,0.0583,0.05,0.04,0.0297,0.0392,0.0444,0.03,0.03,0.0198,0.01
2.5,0.0297,0.02,0.03,0.0099,0,0.01,0.0182,0.02,0.00971,0.01,0.04,0.0198,0.0196,0.0111,0.02,0.02,0.0594,0.02
3,0.0297,0,0,0,0.02,0,0.00909,0,0.0291,0.01,0,0.0198,0.0098,0.0111,0,0.02,0,0.02
3.5,0,0.01,0,0,0,0.01,0.00909,0.01,0.00971,0,0.01,0.0099,0,0.0111,0.01,0,0,0
4,0,0,0.01,0.0198,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0.0099,0.01
4.5,0,0.01,0.01,0.0099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
5,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0
