xi,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,loc_13,loc_14,loc_15,loc_16,loc_17,loc_18,loc_19
-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.5,0,0.0396,0,0,0,0,0.01,0,0,0,0.03,0,0,0,0,0,0,0,0
-1,0,0.119,0.17,0.0505,0.16,0.00926,0.15,0.136,0.139,0.17,0.18,0.05,0.165,0.191,0.16,0.2,0.13,0.15,0.11
-0.5,0.422,0.158,0.19,0.313,0.21,0.306,0.21,0.272,0.238,0.2,0.11,0.34,0.155,0.182,0.18,0.19,0.2,0.26,0.27
0,0.211,0.228,0.25,0.222,0.16,0.296,0.19,0.155,0.158,0.19,0.17,0.22,0.194,0.145,0.26,0.14,0.29,0.13,0.19
0.5,0.183,0.188,0.14,0.192,0.21,0.185,0.19,0.165,0.168,0.16,0.26,0.2,0.223,0.209,0.15,0.19,0.16,0.15,0.18
1,0.0734,0.109,0.09,0.111,0.09,0.13,0.11,0.0777,0.149,0.11,0.08,0.07,0.146,0.1,0.11,0.13,0.06,0.14,0.09
1.5,0.0459,0.0792,0.06,0.0404,0.11,0.037,0.09,0.107,0.0396,0.08,0.1,0.03,0.0194,0.0909,0.08,0.05,0.07,0.09,0.06
2,0.0275,0.0495,0.05,0.0303,0.03,0.0278,0.04,0.0485,0.0891,0.05,0.03,0.01,0.068,0.0364,0.02,0.05,0.04,0.07,0.07
2.5,0.00917,0,0.03,0.0101,0.01,0.00926,0.01,0.0194,0,0.02,0.03,0.04,0.0194,0.0182,0.01,0.04,0.02,0,0.01
3,0.00917,0.0297,0.01,0,0.01,0,0,0.00971,0.0099,0,0.01,0.03,0,0.0273,0.01,0,0.02,0,0.01
3.5,0.00917,0,0.01,0.0101,0,0,0,0.00971,0,0.02,0,0,0,0,0,0.01,0,0,0
4,0.00917,0,0,0.0101,0,0,0,0,0,0,0,0,0.00971,0,0.02,0,0.01,0,0.01
4.5,0,0,0,0,0.01,0,0,0,0.0099,0,0,0,0,0,0,0,0,0.01,0
5,0,0,0,0.0101,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
