xi,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,loc_13,loc_14,loc_15,loc_16
-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.5,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01
-1,0.07,0.15,0.147,0.158,0.15,0.18,0.04,0.13,0.19,0.19,0.1,0.14,0.15,0.09,0.0606,0.12
-0.5,0.25,0.21,0.245,0.228,0.18,0.17,0.33,0.28,0.16,0.16,0.23,0.21,0.21,0.29,0.303,0.23
0,0.31,0.16,0.118,0.129,0.25,0.16,0.27,0.18,0.21,0.18,0.3,0.24,0.18,0.22,0.263,0.17
0.5,0.13,0.13,0.225,0.188,0.19,0.26,0.2,0.13,0.2,0.15,0.17,0.14,0.19,0.15,0.192,0.19
1,0.12,0.19,0.127,0.158,0.09,0.11,0.04,0.1,0.11,0.12,0.03,0.09,0.14,0.13,0.0909,0.13
1.5,0.07,0.05,0.0392,0.0495,0.04,0.04,0.05,0.08,0.03,0.09,0.09,0.11,0.07,0.06,0.0404,0.09
2,0,0.06,0.0294,0.0495,0.04,0.03,0.02,0.04,0.04,0.07,0.02,0.01,0.03,0.01,0.0202,0.01
2.5,0.02,0.02,0.0588,0.0297,0.05,0.02,0.02,0.05,0.02,0.02,0.03,0.04,0,0.02,0.0202,0.02
3,0.01,0.01,0.0098,0,0,0.02,0.01,0,0.03,0.01,0.01,0.01,0.02,0.01,0,0.02
3.5,0,0,0,0,0,0.01,0,0.01,0.01,0,0.02,0.01,0,0,0.0101,0
4,0.01,0,0,0.0099,0.01,0,0,0,0,0,0,0,0,0.01,0,0.01
4.5,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0
5,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
