xi,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,loc_13,loc_14,loc_15,loc_16,loc_17,loc_18,loc_19
-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.5,0,0.03,0.03,0.02,0.08,0,0.06,0,0.01,0,0,0,0,0,0,0.01,0,0.0202,0
-1,0.05,0.14,0.13,0.16,0.11,0.141,0.14,0.14,0.19,0.09,0.13,0.08,0.13,0.144,0.09,0.09,0.162,0.152,0.14
-0.5,0.31,0.14,0.19,0.2,0.16,0.242,0.13,0.26,0.18,0.25,0.24,0.26,0.23,0.237,0.3,0.26,0.222,0.182,0.26
0,0.28,0.24,0.25,0.1,0.13,0.182,0.21,0.17,0.14,0.25,0.23,0.26,0.2,0.227,0.2,0.29,0.131,0.202,0.18
0.5,0.14,0.21,0.14,0.19,0.19,0.222,0.14,0.17,0.14,0.18,0.15,0.15,0.19,0.134,0.13,0.1,0.242,0.202,0.11
1,0.11,0.08,0.12,0.17,0.18,0.0707,0.13,0.12,0.21,0.13,0.1,0.09,0.09,0.0825,0.15,0.09,0.141,0.0505,0.16
1.5,0.03,0.08,0.05,0.09,0.08,0.0404,0.08,0.07,0.05,0.03,0.09,0.08,0.08,0.0825,0.06,0.07,0.0303,0.111,0.08
2,0.04,0.03,0.05,0.04,0.06,0.0606,0.08,0.04,0.04,0.03,0.03,0.05,0.04,0.0412,0.02,0.03,0,0.0606,0.05
2.5,0,0.03,0.03,0.03,0.01,0.0202,0.03,0,0.03,0,0,0.01,0.02,0.0206,0.01,0.03,0.0404,0.0101,0
3,0.01,0,0,0,0,0,0,0.02,0,0.01,0,0,0.01,0.0206,0.02,0.02,0.0101,0,0.01
3.5,0.02,0.02,0,0,0,0.0101,0,0,0.01,0.01,0.01,0,0,0,0.01,0.01,0.0101,0,0
4,0,0,0.01,0,0,0.0101,0,0.01,0,0.01,0.02,0.02,0,0.0103,0.01,0,0.0101,0,0.01
4.5,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0.0101,0
5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
