VgHLrz_coarse_1,VCu7Vn_fines_sam_1,VVNwsR_fines_stephen_1,VkaFBe_coarse_10,VRVRKY_fines_10,VrMpba_coarse_11,VKLmQi_fines_11,V6sq7w_2_2,Vl6DQ9__2,VvdqZX_1_3,VNXBdU_2_3,V8i0Zc_1_4,Vz9g5t_2_4,Vj8z7o_1_5,VXd4AJ_2_5,VdhDo3_coarse_6,VGbR9l_fines_6,VPIhzz_coarse_7,VzMh2H_fines_7,V13NEd_coarse_8,VzdZfH_fines_8,VI1lQ1_coarse_9,VDcsVY_fines_9
0.000902234418560184,0.000902234418560184,0.000902234418560184,767.505320950237,767.505320950237,665.269417939811,665.269417939811,115.730308009494,115.730308009494,276.904473767025,276.904473767025,381.983202856458,381.983202856458,481.661709201339,481.661709201339,1194.49331856118,1194.49331856118,1082.63740960413,1082.63740960413,988.182397697702,988.182397697702,878.579488663895,878.579488663895
25,75,75,50,50,40,60,85,15,70,30,50,50,50,50,40,60,40,60,40,60,50,50
2,8,4,20,24,2,26,7,26,42,42,34,3,22,5,70,30,34,24,48,5,28,20
3,7,4,44,9,27,33,23,5,48,17,13,7,3,7,12,24,45,6,55,60,56,4
4,25,8,36,25,58,4,2,3,4,75,3,5,6,28,22,48,22,5,24,6,52,30
25,2,25,33,15,53,56,27,9,4,36,70,59,4,25,49,12,46,29,50,36,48,5
9,25,4,20,39,35,25,2,3,35,42,28,8,76,2,22,6,77,8,46,7,28,38
8,6,4,29,46,2,1,20,3,44,8,41,1,12,6,55,5,83,34,33,7,20,23
4,9,8,30,5,29,5,22,3,35,45,29,20,7,5,20,5,53,34,60,4,75,5
25,5,8,50,26,47,28,1,35,35,79,54,9,28,3,22,2,46,45,79,24,29,54
7,36,5,28,23,77,37,2,36,5,38,75,1,78,22,56,8,23,3,75,5,8,27
8,47,8,75,23,1,44,2,3,14,66,54,8,5,45,75,12,44,8,4,1,45,6
8,26,7,74,39,75,6,26,6,1,17,48,24,4,27,98,4,29,3,51,4,42,2
4,6,7,75,47,36,3,17,5,6,42,25,26,7,8,20,39,57,3,4,16,42,27
6,85,6,64,8,55,28,26,5,5,2,71,48,5,36,22,29,78,7,27,3,40,4
9,6,5,76,34,8,9,1,44,75,1,6,5,6,30,48,6,36,3,85,28,23,46
48,6,7,59,20,85,56,1,78,26,31,87,20,8,48,95,43,71,8,54,6,75,45
8,8,6,36,43,36,36,4,42,2,5,22,14,2,8,29,1,86,9,78,26,35,6
1,56,30,75,31,56,45,5,72,42,48,4,8,28,28,55,6,23,47,45,9,50,39
5,3,5,35,36,76,1,35,36,6,56,24,3,3,2,21,9,26,35,75,34,29,45
9,4,20,74,20,6,8,55,48,76,155,1,20,12,8,56,20,60,2,85,20,40,25
26,1,26,44,26,76,3,2,49,6,2,3,5,1,4,22,40,48,45,4,21,4,31
4,2,5,54,44,24,27,1,26,3,26,49,47,9,8,9,10,87,2,25,34,26,9
21,3,3,55,32,71,2,25,57,5,42,4,20,9,3,26,43,47,9,9,7,27,57
2,30,1,44,44,50,15,26,45,2,29,44,3,36,7,46,5,73,24,2,24,58,5
79,26,3,77,9,47,3,2,31,26,21,45,3,28,22,76,21,34,9,28,9,84,25
21,6,5,59,28,18,9,6,3,2,2,47,36,28,57,74,5,27,48,56,2,34,23
