VzTY2r_full_1,VOvSRA_coarse_10,VXbSSP_fines_10,V61Ydj_coarse_11,VeQ9L1_fines_11,VCUunK_coarse_12,V7hPj4_fines_12,V3dbTD_coarse_13,VuIWY2_fines_13,VB0RPe_coarse_14,VtMN8k_fines_14,VS73LA_coarse_15,Vs1HCl_fines_15,VlgAq6_full_2,V2HVPi_full_3,VlSxxw_coarse_4,VVDr9K_fines_4,VH4d0y_coarse_5,VLPDlw_fines_5,VfB9fU_coarse_6,VKmjuJ_fines_6,VWI0UR_coarse_7,VAxeh1_fines_7,VspLi7_full_8,Vky92N_coarse_9,VCbAd6_fines_sam_9,VPXazz_fines_stephen_9
43.8414763510123,1470.33303298948,1470.33303298948,1670.94092395157,1670.94092395157,1882.45846771949,1882.45846771949,2087.58609985518,2087.58609985518,2288.93811237581,2288.93811237581,2508.96056906573,2508.96056906573,205.589924182337,287.763630966695,458.10840750567,458.10840750567,535.896880663478,535.896880663478,703.526528071829,703.526528071829,899.502255645057,899.502255645057,1091.12956040895,1270.12988881751,1270.12988881751,1270.12988881751
100,50,50,50,50,60,40,60,40,50,50,50,50,100,100,30,70,50,50,50,50,40,60,100,10,90,90
71,44,36,32,44,33,38,32,23,71,23,67,38,83,4,9,50,66,23,26,36,57,22,5,32,86,38
7,32,6,37,38,52,62,30,75,57,86,40,54,44,7,32,50,96,10,87,28,36,13,23,46,26,35
80,74,73,54,64,36,38,25,22,9,30,66,40,57,25,55,27,50,23,60,60,60,28,48,40,50,20
83,85,53,30,20,33,66,33,30,57,49,55,35,89,7,6,63,77,36,28,58,80,30,58,55,17,8
22,28,49,35,73,92,26,46,75,90,48,59,34,40,6,50,65,55,57,72,20,76,23,58,63,13,20
83,23,8,55,28,35,74,33,33,89,35,50,40,32,73,6,50,34,17,32,38,58,21,23,50,52,9
4,46,5,86,54,60,6,25,23,26,30,25,40,41,9,66,28,58,44,63,20,79,84,36,26,47,42
5,33,76,50,66,70,35,27,71,60,40,70,30,50,71,23,60,55,8,46,35,33,60,78,25,38,4
30,6,42,60,56,23,8,34,52,88,36,28,36,182,30,56,20,68,85,38,38,35,70,89,54,40,7
56,46,48,63,50,30,40,53,36,23,40,77,45,55,96,73,38,82,49,26,38,80,35,40,35,66,27
6,7,1,72,38,52,5,46,80,45,42,24,23,2,8,60,48,63,7,66,37,4,33,66,66,78,20
6,66,58,82,36,36,9,76,75,60,36,85,39,22,88,33,44,44,7,55,50,39,50,54,60,23,6
55,36,2,48,60,68,50,36,45,28,43,54,40,56,7,55,17,46,52,22,48,155,62,7,23,76,57
8,40,47,38,20,49,8,66,14,89,28,36,33,82,30,40,56,22,28,58,33,33,26,33,88,60,35
30,23,50,60,30,46,6,31,19,44,26,3,24,6,6,28,28,58,5,62,77,48,62,40,70,30,100
28,98,45,84,45,46,5,25,40,121,45,17,55,6,6,24,66,28,7,65,8,98,88,32,60,70,36
9,56,5,62,22,63,54,56,25,50,45,75,6,56,80,60,62,74,35,30,55,50,60,8,55,34,38
52,36,38,58,40,63,47,23,86,68,76,93,41,27,76,24,8,58,63,96,45,83,26,88,18,59,58
90,53,6,2,35,2,8,52,36,23,56,53,40,78,4,68,70,70,46,103,43,24,40,64,53,71,49
63,47,72,81,50,62,76,25,58,54,50,57,23,40,2,187,25,34,4,76,46,42,40,49,86,38,47
9,58,69,72,57,85,7,94,49,74,50,75,23,5,72,54,57,56,44,87,40,49,83,9,57,70,34
36,2,43,58,45,123,73,63,9,36,7,65,32,70,41,56,6,63,4,40,20,46,34,124,58,69,33
82,42,5,73,85,58,33,78,24,27,68,80,34,61,29,35,28,40,7,4,7,84,3,67,85,35,106
6,62,8,64,50,103,22,100,87,60,90,92,34,50,48,203,96,40,58,102,67,95,50,15,47,36,72
20,75,7,85,149,77,7,85,39,48,8,67,48,28,16,56,2,38,6,41,30,62,42,25,107,48,25
220,78,33,42,21,35,94,73,89,35,3,70,39,8,32,8,35,96,71,36,8,78,23,55,115,69,51
