Vg3wER_full_1,VX1aOl_full_2,Vd35yr_full_3,Vu3EUA_full_4,VzfWOh_full_5,VREFEZ_full_6,VHb3VH_full_7,Vj2VCI_full_8
170.939830386663,340.271696980439,428.476886109082,782.474747050259,734.451647681189,602.414801531187,875.207789047682,1262.62805348434
100,100,100,100,100,100,100,100
8,3,7,36,37,3,7,3
6,5,45,25,36,2,85,1
4,36,9,3,55,45,7,49
32,5,7,3,47,7,51,17
2,27,31,4,75,31,55,43
23,46,72,55,56,26,6,67
20,20,29,4,35,2,15,7
2,6,65,5,40,3,9,4
24,2,42,7,42,3,75,78
3,20,7,5,25,7,7,3
26,7,8,7,46,55,1,6
46,23,26,56,40,46,2,58
36,9,50,4,75,5,28,28
20,9,7,3,47,54,3,24
3,26,20,5,82,40,42,24
5,2,2,8,45,24,87,34
20,2,26,5,73,7,2,3
1,26,3,7,45,56,5,2
21,7,9,24,37,8,7,20
7,5,43,5,34,2,82,8
20,20,9,27,28,75,45,5
5,70,7,7,55,2,4,3
3,4,25,7,47,3,78,25
8,9,27,93,38,70,45,70
76,73,9,2,70,3,5,7
2,2,6,6,55,28,1,75
6,7,8,1,72,70,22,23
36,26,8,4,76,57,5,5
2,24,5,6,55,27,4,76
55,42,45,23,36,48,76,45
21,5,5,9,59,2,54,14
2,2,24,5,52,38,5,24
26,5,7,20,63,77,4,50
47,2,20,5,53,75,68,4
3,25,7,25,58,43,55,66
3,8,4,6,53,32,3,9
2,5,5,9,100,65,72,75
6,1,56,8,60,96,75,28
21,5,43,25,96,62,76,24
20,22,12,42,71,65,9,3
2,4,62,65,30,14,75,9
5,3,10,5,43,97,53,3
3,7,5,2,0,44,36,26
21,3,46,4,37,22,8,34
74,7,16,36,58,39,108,9
2,23,11,2,29,52,11,7
9,4,32,2,90,73,65,10
4,12,17,9,88,132,13,106
20,125,37,3,58,60,14,30
29,12,15,2,95,60,85,15
3,62,63,38,107,32,115,60
24,12,10,17,31,23,62,30
8,61,13,85,102,62,13,121
7,12,96,38,52,13,42,35
26,32,14,18,172,70,87,57
9,42,27,48,33,30,80,38
7,80,23,21,103,32,87,69
39,12,22,11,39,66,100,67
10,43,11,97,83,95,39,23
15,35,15,46,90,31,67,15
12,101,14,33,110,62,85,43
40,10,44,19,60,111,53,50
49,31,14,53,71,65,40,33
20,67,31,16,43,31,49,92
40,22,35,61,44,60,116,22
23,15,55,16,111,60,63,48
112,95,16,10,45,50,69,12
50,15,10,39,50,38,49,97
14,100,85,13,60,46,66,46
30,13,22,27,173,90,41,92
11,63,32,117,57,152,131,14
11,54,11,10,57,32,51,41
12,45,162,40,54,57,47,123
27,19,15,17,49,42,89,19
44,50,14,10,77,73,11,81
11,20,82,10,72,63,89,88
12,14,12,35,33,138,36,10
43,12,22,41,120,13,95,22
23,27,81,37,101,51,60,108
10,31,16,73,183,40,10,14
24,90,38,37,22,49,17,52
15,45,13,11,32,114,47,18
56,27,33,75,73,86,92,51
39,17,70,16,98,61,82,14
18,11,23,101,112,126,98,42
14,13,13,20,51,60,48,18
11,42,13,101,148,67,92,12
12,49,18,18,73,102,61,170
10,18,12,78,107,175,95,11
30,10,33,21,30,46,85,61
300,20,45,22,93,92,95,49
14,56,12,48,33,106,93,21
63,30,32,50,83,24,92,97
31,14,13,10,95,80,10,30
51,10,10,52,58,16,132,103
23,12,63,23,67,43,17,40
13,55,31,18,107,57,42,67
45,41,11,16,65,37,24,44
65,95,42,65,51,105,13,66
0,25,17,10,203,67,61,155
