VcX5tt_full_1,V6fxc0_coarse_10,VYt8ga_fines_10,VMUGXU_coarse_11,VVyggw_fines_11,VHmVUj_coarse_2,V1Mp3M_fines_2,VSe3fR_full_3,VhjZAr_full_4,VfXEWO_full_5,VMyYDX_full_6,VwK4TU_full_7,VMvE6J_full_8,VRqIfs_100_9
544.93157589998,1423.73504607938,1423.73504607938,1526.14080266959,1526.14080266959,640.004981893576,640.004981893576,738.08709357339,835.468685949463,902.252349443853,1015.69131908555,1111.84279273904,1215.56341917104,1320.95785689956
100,50,50,40,60,50,50,100,100,100,100,100,100,100
5,89,11,50,2,36,2,28,65,13,58,20,2,2
6,54,14,47,5,38,2,5,50,1,58,25,7,22
8,27,17,6,7,39,2,48,58,2,46,33,8,4
6,34,18,60,8,47,3,26,23,2,40,83,9,5
22,70,21,2,9,30,5,53,37,2,83,35,14,6
36,34,22,28,10,7,6,50,4,2,25,30,17,8
23,44,22,38,11,75,7,9,54,2,30,58,18,8
7,33,22,86,11,6,8,36,76,3,70,68,18,11
40,28,22,2,12,72,8,68,8,5,33,47,18,11
38,28,23,66,13,5,9,33,22,5,56,36,19,11
48,26,23,38,16,36,9,20,76,5,36,58,20,13
4,38,23,3,17,7,9,86,2,5,70,20,21,13
36,34,24,12,18,2,10,22,1,6,50,8,23,15
39,58,25,76,18,7,10,5,50,6,25,70,24,15
7,6,25,5,19,57,100,85,5,6,33,6,25,15
33,26,25,50,21,3,14,45,36,6,46,34,25,18
9,47,26,50,21,76,15,30,2,7,138,16,26,16
4,9,27,36,21,35,17,8,66,7,33,76,27,16
5,109,28,22,21,7,17,6,42,9,72,3,27,16
2,60,28,84,22,69,18,14,27,10,1,84,37,17
3,59,28,2,22,42,18,32,22,104,61,44,28,18
73,42,28,38,23,26,18,49,50,12,122,65,30,18
53,35,30,5,23,2,19,41,78,12,55,44,31,20
2,79,31,70,26,76,19,28,52,13,42,35,31,20
30,11,31,7,26,40,20,67,41,13,14,63,33,20
48,85,31,59,27,2,21,13,24,13,23,6,33,21
51,83,32,45,27,5,22,41,21,14,38,39,38,22
15,41,32,52,28,3,24,46,142,15,58,122,34,22
170,30,33,8,28,4,26,18,50,15,80,12,34,23
33,58,34,53,29,36,28,18,157,16,18,107,36,25
24,73,35,6,29,21,28,56,44,16,93,119,36,25
43,41,36,22,32,42,28,105,38,17,46,91,37,26
80,57,36,20,32,66,29,18,82,17,85,39,87,27
55,66,36,76,33,27,30,62,75,17,19,98,40,28
18,95,36,41,34,34,32,52,49,17,227,44,40,30
18,79,37,27,35,16,32,27,55,18,30,32,42,31
10,67,38,52,35,41,33,60,60,18,83,27,42,32
28,46,39,42,36,61,33,16,52,19,60,96,42,33
72,72,43,40,37,43,35,41,35,19,22,81,42,33
24,92,43,31,37,33,34,46,53,20,62,45,42,35
24,108,44,54,37,67,35,31,42,21,73,80,43,36
28,59,44,27,37,53,36,103,110,21,15,96,44,38
17,98,44,67,37,20,36,32,42,23,61,31,45,38
26,188,46,53,38,33,36,63,103,24,27,36,48,38
105,95,47,43,39,10,37,10,86,25,79,62,48,41
50,91,47,45,39,81,38,45,56,26,102,28,50,41
10,68,48,88,39,54,39,65,75,26,44,34,50,42
41,43,48,48,40,150,49,32,40,27,88,108,50,43
26,145,48,37,40,31,41,85,61,28,75,52,50,44
20,126,49,44,40,109,42,30,91,29,116,117,51,45
12,56,49,58,40,153,42,14,25,29,49,91,52,45
56,52,50,42,41,16,43,82,43,30,13,17,52,46
50,35,50,52,41,12,43,13,33,31,54,144,54,48
43,98,52,51,42,62,43,31,88,31,43,90,54,48
42,109,53,68,42,116,45,18,38,33,43,46,55,49
35,39,53,52,42,52,45,31,112,36,35,103,55,50
44,38,54,82,42,63,45,88,143,36,24,17,57,53
68,94,57,21,43,104,46,35,41,38,52,36,57,55
64,56,57,17,44,53,46,60,91,41,45,65,58,55
71,41,59,113,44,54,49,59,29,42,43,56,59,56
27,59,60,48,45,95,50,94,62,43,36,25,70,56
15,28,60,105,45,51,51,18,32,44,31,89,60,60
40,11,62,55,47,51,51,67,94,44,47,24,60,60
93,75,63,92,48,21,51,43,22,44,27,15,60,61
66,25,64,86,48,69,51,77,54,45,81,27,60,61
42,72,66,51,48,78,52,50,73,45,31,61,62,61
11,150,67,53,49,65,53,76,87,45,31,103,63,62
72,35,68,52,50,91,55,38,31,46,62,13,63,63
28,31,69,60,50,43,55,28,43,46,41,21,63,64
53,81,70,40,52,45,55,21,210,46,73,92,66,65
37,40,71,13,52,36,57,140,136,47,68,17,67,65
94,50,71,48,52,109,58,28,14,47,70,120,68,66
56,31,72,98,53,87,59,64,62,47,28,21,69,67
83,42,73,108,53,68,61,45,41,48,44,17,72,68
28,138,74,11,45,91,62,68,111,48,55,98,72,70
26,67,75,110,56,62,62,21,88,49,35,79,72,71
18,42,81,85,56,75,62,76,11,50,120,81,75,71
57,83,81,61,57,112,62,42,180,51,44,41,77,72
39,73,82,65,58,63,63,92,65,53,62,11,79,74
143,61,82,33,60,85,63,105,80,52,101,67,82,78
31,83,83,120,62,59,64,13,63,53,45,82,84,80
54,73,83,41,63,86,65,12,39,54,114,33,84,85
130,55,84,112,63,45,68,27,47,56,55,28,84,85
39,85,84,56,63,130,70,79,59,56,36,35,87,85
18,137,88,42,64,170,70,67,59,56,44,68,90,88
48,42,89,76,64,75,73,39,71,59,156,56,91,96
34,46,89,15,65,125,74,18,42,55,26,85,92,91
42,127,90,82,68,76,75,35,60,60,158,33,92,93
21,63,94,62,68,15,78,68,49,60,33,13,93,92
13,30,95,48,69,81,79,93,62,60,175,54,100,100
34,52,95,54,70,92,79,32,45,62,41,40,102,105
41,27,96,43,72,92,82,14,41,62,48,30,110,112
50,107,100,49,73,198,82,63,71,63,56,45,119,113
49,161,104,54,83,45,83,57,105,63,23,49,122,116
11,101,107,60,83,99,84,15,22,65,140,116,123,132
34,39,108,64,101,61,88,33,54,65,136,62,125,142
23,116,109,170,117,17,92,123,70,66,91,20,155,155
64,47,116,23,125,65,95,153,38,68,53,33,162,160
52,57,118,48,141,117,105,52,47,70,27,65,184,172
11,53,122,30,155,55,138,38,47,72,110,68,225,187
0,0,122,0,0,18,0,0,0,74,0,70,0,0
0,0,0,0,0,0,0,0,0,75,0,43,0,0
0,0,0,0,0,0,0,0,0,75,0,77,0,0
0,0,0,0,0,0,0,0,0,76,0,43,0,0
0,0,0,0,0,0,0,0,0,79,0,124,0,0
0,0,0,0,0,0,0,0,0,80,0,100,0,0
0,0,0,0,0,0,0,0,0,82,0,19,0,0
0,0,0,0,0,0,0,0,0,88,0,82,0,0
0,0,0,0,0,0,0,0,0,103,0,45,0,0
0,0,0,0,0,0,0,0,0,8,0,20,0,0
0,0,0,0,0,0,0,0,0,0,0,70,0,0
0,0,0,0,0,0,0,0,0,0,0,140,0,0
0,0,0,0,0,0,0,0,0,0,0,195,0,0
0,0,0,0,0,0,0,0,0,0,0,45,0,0
0,0,0,0,0,0,0,0,0,0,0,137,0,0
0,0,0,0,0,0,0,0,0,0,0,75,0,0
0,0,0,0,0,0,0,0,0,0,0,16,0,0
0,0,0,0,0,0,0,0,0,0,0,48,0,0
0,0,0,0,0,0,0,0,0,0,0,53,0,0
0,0,0,0,0,0,0,0,0,0,0,105,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
