VEtcpr_full_1,Vjm2p2_full_10,VcIEsT_1_sam_11,Vpogsf_1_stephen_11,Vee6YH_coarse_11,VOq08N_coarse_12,VvkYfe_fines_12,VouSFz_full_2,VYwLG4_full_3,V291Ch_full_4,V9f2E9_coarse_5,V5iaUs_fines_5,VAX5hd_full_6,VeT68f_coarse_7,V9caNL_fines_7,Vztgzf_full_8,ViNkID_1_9,VqlNZn_2_9
436.090796375418,897.817217205864,1018.67856817101,1018.67856817101,1018.67856817101,946.046115462253,946.046115462253,485.640945988299,536.540181504875,591.734720521402,644.471367913229,644.471367913229,695.253238554097,739.946440699333,739.946440699333,794.772053655179,847.315011723962,847.315011723962
100,100,50,50,50,50,50,100,100,100,30,70,100,20,80,100,50,50
6,28,25,9,8,80,70,4,26,8,7,66,44,5,6,5,86,34
57,70,48,8,85,136,40,56,63,71,78,63,52,84,30,86,36,86
2,41,88,48,80,56,55,33,32,9,68,49,52,6,36,7,33,52
80,64,38,8,54,1,44,4,63,6,25,7,48,7,62,73,22,7
38,155,40,7,40,72,22,9,9,51,57,10,83,30,70,20,36,1
30,56,34,9,85,34,56,79,83,3,55,7,3,7,25,9,6,71
50,53,63,82,70,36,38,26,54,5,7,24,34,77,50,20,38,9
5,73,79,9,2,60,33,76,38,7,42,78,258,6,46,8,3,54
8,48,10,64,6,32,22,5,39,72,3,6,72,7,20,1,29,86
96,85,34,95,52,78,49,70,12,43,4,63,84,73,72,60,30,69
7,47,23,45,7,84,1,5,9,41,62,66,2,86,82,34,33,35
38,6,47,7,72,56,53,63,30,54,87,21,85,105,33,50,30,23
56,62,33,65,6,33,41,6,43,8,82,9,74,90,75,3,9,5
22,48,41,30,1,63,6,34,41,6,86,60,4,2,70,22,52,22
62,60,47,8,64,50,7,3,182,68,4,30,20,53,106,8,3,46
89,23,43,20,3,58,48,57,52,38,2,88,2,30,35,47,24,6
26,63,55,38,84,38,80,136,56,88,68,6,23,103,61,4,3,70
27,27,80,6,2,4,26,57,40,44,5,50,85,57,89,3,76,7
35,88,22,12,2,42,6,45,33,38,1,37,35,9,5,8,8,7
38,9,40,41,8,5,36,4,245,63,73,82,73,4,58,63,52,30
50,46,13,24,56,53,33,22,71,52,78,56,28,46,42,8,8,96
65,8,31,60,2,35,35,272,70,4,24,25,5,120,99,5,33,89
50,22,43,16,70,27,30,72,68,8,94,22,2,82,33,7,28,2
54,72,65,56,45,89,60,25,86,44,93,75,53,8,2,50,93,83
75,63,55,18,85,82,38,38,9,7,63,21,10,72,57,38,5,30
33,58,33,18,30,55,96,62,27,50,2,73,105,86,6,4,42,8
92,44,52,110,4,86,35,76,20,1,50,4,47,67,52,5,31,52
24,57,33,31,50,55,85,86,56,9,219,33,4,4,40,6,68,70
222,60,50,29,41,70,31,2,22,7,1,63,220,63,60,7,30,52
35,33,72,69,56,80,48,85,7,48,7,66,68,30,9,65,60,2
15,8,40,40,77,34,71,161,14,6,44,96,47,46,5,34,99,2
56,38,34,72,7,56,8,0,26,3,4,70,240,72,6,80,82,66
69,1,54,17,7,89,36,18,20,35,28,57,7,7,82,39,5,36
8,15,23,14,79,32,58,133,48,44,2,7,17,100,75,6,38,39
5,62,6,75,7,49,36,26,89,5,22,64,47,66,35,21,70,82
86,68,44,74,42,7,74,15,46,7,30,34,30,2,7,51,70,7
71,52,40,50,11,38,33,28,7,52,66,55,35,8,113,49,8,9
107,72,19,72,53,95,6,10,86,152,28,94,38,8,20,60,5,22
100,78,70,44,63,78,14,80,72,63,6,3,78,40,6,32,5,5
38,31,14,38,57,36,22,37,135,63,7,44,45,62,104,82,47,208
38,29,55,61,62,109,35,118,40,82,160,4,34,96,100,105,28,33
14,64,29,66,78,121,31,25,7,2,78,10,41,7,16,11,73,4
132,60,45,86,63,46,24,32,75,4,78,28,72,3,67,131,30,6
52,67,38,36,83,120,36,18,27,38,18,15,91,4,96,21,27,4
106,54,80,34,67,50,18,15,50,58,73,19,35,42,35,25,28,8
88,54,36,27,64,96,37,44,41,70,114,54,32,58,18,175,56,9
15,115,50,51,12,112,75,60,49,84,55,69,116,10,90,88,94,50
182,17,25,29,62,65,37,135,56,48,58,107,33,95,57,112,62,5
165,45,63,158,97,61,14,106,13,28,135,43,102,54,76,95,25,36
15,60,26,33,84,58,47,18,88,95,104,18,163,27,125,144,27,5
102,157,43,52,74,85,18,42,17,8,91,11,110,10,62,76,31,27
36,120,12,19,126,55,18,53,122,15,47,18,63,127,43,11,48,97
138,35,25,34,108,47,100,111,164,85,64,61,58,178,58,17,85,50
58,72,21,51,134,34,38,75,41,97,115,19,102,58,68,131,37,11
69,77,31,15,63,76,18,96,127,109,96,17,120,21,56,149,27,119
16,30,27,93,57,62,18,14,25,97,57,10,45,12,59,17,102,200
18,44,92,57,57,107,42,20,84,71,55,121,72,90,81,99,41,84
96,56,95,74,38,97,48,79,14,48,144,11,120,108,73,13,25,47
19,37,34,60,92,43,48,21,18,14,48,11,43,112,49,111,18,61
130,18,27,21,93,44,27,126,47,25,16,18,52,143,109,90,15,170
13,35,43,95,76,43,155,129,64,13,100,26,50,142,51,128,52,58
38,67,14,11,56,45,47,305,280,47,113,26,78,83,119,113,20,32
15,19,13,64,100,55,50,128,128,13,47,65,32,107,90,44,47,43
16,61,53,32,78,93,90,17,31,53,172,32,113,100,65,48,43,11
12,105,31,85,140,87,47,26,28,22,92,17,165,102,45,98,80,35
132,21,21,72,77,85,18,22,21,27,53,24,35,11,63,18,99,79
38,34,55,53,100,60,53,56,92,102,38,13,97,114,15,104,24,48
83,72,224,57,102,91,63,119,38,178,45,21,156,167,27,67,24,13
29,18,16,31,101,105,42,26,70,165,91,11,38,82,78,61,13,38
76,139,41,75,37,92,55,47,52,101,18,32,162,270,76,48,80,57
14,54,68,18,145,47,42,100,24,45,262,28,70,11,11,125,25,10
112,12,36,11,37,172,77,18,31,43,50,74,85,45,35,25,12,42
