ViHKAZ_full_1,VeJpBH_full_10,V78Be1_full_11,VPzymA_full_2,VX4qXn_full_3,VPj80R_coarser_4,VqW9FP_fines_4,VyFgxt_full_5,VIbVdk_full_6,VJ4nKj__7,V5wqcQ_coarse_8,VjPT42_fines_8,Vx5Lgm_coarse_9,V4pYty_fines_9
428.543410132151,718.215827530738,749.721339243219,462.139843048747,494.160367907239,528.051818498022,528.051818498022,560.956099505062,593.099807658562,623.883721265707,651.695711721523,651.695711721523,683.424171160343,683.424171160343
100,100,100,100,100,50,50,100,100,100,50,50,50,50
26,6,47,57,5,203,28,62,30,25,5,62,30,56
45,73,58,79,70,82,70,9,35,26,90,36,77,50
56,49,25,20,15,38,30,32,89,24,38,46,30,38
68,44,50,23,64,60,65,95,82,55,76,34,52,53
38,8,28,65,63,32,32,2,26,23,26,37,35,60
38,44,70,9,6,40,38,26,45,50,78,33,83,7
14,9,36,64,59,8,23,62,82,58,93,20,52,9
36,7,20,60,51,60,33,82,83,53,104,35,75,80
7,6,36,4,33,70,30,7,65,53,69,52,55,75
5,64,58,29,6,62,5,40,82,83,40,38,63,23
74,36,45,9,26,2,22,5,53,50,58,66,68,7
7,8,60,36,70,36,36,12,40,56,82,79,58,65
6,67,59,17,24,26,50,85,80,76,74,92,77,47
30,106,40,7,23,54,44,42,36,83,45,47,68,76
6,7,32,88,6,3,23,3,63,67,73,10,8,8
54,63,56,78,36,8,36,46,6,22,53,65,35,56
68,53,44,75,34,79,35,7,80,5,70,23,83,12
33,8,63,90,28,36,46,6,72,34,100,50,56,82
47,34,44,9,18,134,50,70,40,2,58,20,76,53
6,9,62,33,35,37,20,95,30,23,58,26,90,39
94,46,24,225,36,33,8,28,30,52,58,30,48,83
7,49,58,64,2,60,30,50,40,33,48,38,90,85
20,8,33,58,56,130,60,7,26,3,33,27,78,3
68,25,76,121,70,9,60,55,37,54,106,36,57,44
7,93,25,56,7,45,5,86,23,40,2,59,147,53
117,108,99,135,78,72,3,74,55,34,65,32,26,62
53,59,52,52,13,207,59,4,60,4,65,56,66,46
30,25,66,106,68,90,25,73,60,15,22,60,94,88
21,60,60,54,9,2,22,68,5,10,50,22,56,23
50,6,65,8,42,66,44,6,33,25,2,46,94,35
82,49,72,87,46,153,52,8,85,5,83,55,38,4
12,22,98,82,123,20,50,68,77,57,8,63,206,122
83,64,60,9,6,139,65,72,15,29,94,65,26,41
43,66,58,106,93,70,60,77,18,27,72,36,90,23
71,30,46,48,70,23,9,13,57,28,4,39,66,41
96,58,46,130,20,60,38,82,109,38,50,65,70,10
93,7,32,37,93,12,56,70,14,24,7,23,6,17
37,92,55,4,2,13,50,83,57,113,81,50,68,25
