VlF5Dg_full_1,VHXyP2_full_10,VsXPPv_finer_11,VDqmu8_full_12,VXQ2xc_coarse_13,VFiLgW_finer_13,VTtfxM_coarser_sam_14,VqDxq6_coarser_stephen_14,VF4fmT_finer_sam_14,VE0IWm_finer_stephen_14,V9g9OY_coarse_15,VrEuay_fines_15,VXT9sZ_coarse_16,VGtnEH_fines_16,V8eBDI_full_17,V3cieE_coarse_18,V3RQkd_fines_18,VWo6mR_full_2,VMbB2l_1_3,VMgD1b_2_3,VhjqXE_1_4,VcCtC7_2_4,Vu6fOQ_coarse_5,Vv9WuG_fines_5,VlatQF_coarse_6,VbnIco_fines_6
182.628135188536,489.063330256041,516.854248812635,546.932816646699,560.323128863854,560.323128863854,589.468963057022,589.468963057022,589.468963057022,589.468963057022,615.205348560827,615.205348560827,645.097876733128,645.097876733128,669.848472205511,702.428888087215,702.428888087215,265.915644111958,346.559569870264,346.559569870264,429.789080724989,429.789080724989,465.824840658422,465.824840658422,510.541810022054,510.541810022054
100,100,40,100,60,40,50,50,50,50,50,50,20,80,100,50,50,100,40,60,30,70,50,50,100,100
2,45,52,5,38,43,33,38,27,8,38,33,34,36,37,68,26,4,9,20,20,44,4,23,42,4
20,33,30,82,60,13,30,76,9,8,82,82,33,5,52,93,12,26,1,55,45,1,70,1,4,1
43,78,38,6,76,50,62,5,23,50,23,52,46,29,22,9,42,6,25,5,39,34,3,44,1,29
36,67,20,9,6,63,80,5,25,4,44,78,60,32,28,72,6,24,27,26,3,47,7,10,44,47
35,28,83,25,9,56,37,3,25,80,66,49,55,38,10,128,64,9,3,60,56,1,6,18,34,5
51,45,63,9,70,27,60,33,74,54,21,55,84,3,34,63,6,25,7,7,3,29,26,45,77,8
41,20,45,4,8,57,79,69,82,29,58,40,89,23,3,95,26,34,20,6,79,2,2,38,47,8
2,5,23,69,5,49,36,75,13,30,82,39,60,5,26,16,47,20,33,21,23,1,65,2,71,1
1,42,33,52,65,97,38,73,62,87,53,30,55,30,80,48,5,2,8,7,25,53,1,6,82,43
6,70,132,13,60,53,62,88,15,50,44,60,30,35,36,26,9,5,35,9,76,2,9,8,4,9
85,50,47,44,59,43,60,58,46,50,80,25,49,36,26,44,50,36,8,44,4,23,55,56,3,36
25,12,86,3,60,49,33,34,27,57,52,32,80,26,9,93,32,44,7,7,48,22,29,44,3,74
4,9,157,80,56,68,48,73,43,82,95,45,56,20,88,58,32,35,24,8,2,34,75,28,74,17
2,29,85,87,76,30,38,55,75,4,73,44,70,58,61,56,42,9,9,35,64,42,36,3,54,5
28,73,76,13,52,22,50,57,60,37,50,56,80,32,30,62,7,7,4,23,36,8,20,47,79,2
4,33,81,7,70,42,59,65,53,7,66,138,65,82,40,55,49,2,5,74,70,9,2,63,3,25
21,85,122,30,38,40,36,52,33,9,90,50,58,46,60,32,33,26,53,5,4,2,45,22,7,9
36,8,25,142,70,33,62,73,30,42,48,76,109,96,55,70,83,6,51,3,42,30,71,8,1,4
34,70,40,20,38,26,35,9,52,103,76,28,76,44,8,68,46,2,1,7,2,54,1,47,3,26
45,36,23,83,90,30,40,57,89,13,50,22,26,42,73,88,34,76,47,4,8,7,2,9,7,7
20,9,61,46,50,48,75,4,25,82,65,34,63,52,86,44,57,20,5,28,9,59,6,8,75,24
4,93,70,28,26,36,63,70,82,18,47,33,70,35,68,93,33,8,21,24,26,2,5,3,7,29
24,24,82,30,70,85,35,6,41,67,30,27,30,36,62,78,40,28,70,9,3,7,2,25,78,1
25,50,47,22,63,60,65,70,36,38,85,86,62,33,30,89,74,3,28,8,5,3,73,5,3,5
3,63,120,23,93,50,35,22,58,107,88,47,69,33,92,112,51,33,24,79,3,8,5,35,2,1
20,33,82,44,90,36,50,13,46,52,44,162,2,40,6,42,83,48,45,22,8,2,1,6,2,21
76,58,80,4,6,33,77,43,25,77,65,35,97,68,23,62,30,25,1,72,36,7,75,25,1,26
9,17,52,73,89,85,62,51,40,46,77,92,34,28,78,60,86,17,4,78,7,59,6,2,9,35
3,95,8,52,33,35,33,35,27,58,88,54,122,50,83,255,36,36,4,75,28,6,2,23,7,2
26,8,75,40,6,66,36,48,35,35,40,56,101,64,9,12,33,57,29,26,1,7,23,44,5,5
76,96,17,2,96,45,55,102,89,79,80,35,26,20,36,41,45,26,7,23,2,5,71,24,2,37
34,62,13,65,12,50,58,42,50,33,60,66,43,32,7,62,80,29,5,3,4,36,75,9,7,25
7,13,72,70,74,97,94,60,89,82,90,38,96,7,82,58,135,1,2,79,58,45,4,20,4,3
25,14,55,84,102,36,32,67,55,98,39,60,95,64,40,106,48,86,68,36,14,2,8,5,9,39
6,25,115,1,49,34,182,41,83,53,70,73,43,50,9,68,20,32,46,75,96,3,5,39,55,57
7,37,110,30,34,33,92,46,55,40,36,60,87,48,9,120,44,21,45,48,12,25,55,7,94,3
57,15,48,8,21,28,40,20,34,43,0,22,107,2,70,82,63,14,36,85,60,20,2,34,118,4
2,162,39,5,48,38,39,11,58,69,69,64,98,20,6,82,3,16,7,4,22,3,1,8,97,16
31,100,140,103,49,42,44,53,66,31,133,55,85,42,64,107,43,133,24,2,19,7,8,25,98,18
28,46,132,66,60,35,96,81,38,56,110,20,35,44,59,103,48,28,20,11,13,3,26,48,46,74
175,13,125,47,11,6,93,52,25,71,115,56,56,51,53,118,40,43,2,85,37,12,57,1,63,4
68,101,68,103,74,35,90,16,50,54,88,66,75,56,8,73,16,17,17,74,19,14,1,19,63,2
10,47,69,43,69,32,45,70,78,39,84,26,55,45,40,63,40,80,17,8,16,10,1,14,84,85
16,25,30,50,17,63,38,56,33,33,48,4,48,72,30,91,37,33,8,12,66,16,80,95,100,7
159,50,137,69,79,77,6,14,22,98,115,12,102,54,60,42,12,73,39,10,35,12,75,15,110,1
102,56,54,54,55,40,67,82,54,90,158,32,61,45,9,119,22,18,6,88,15,50,3,42,10,5
63,14,160,82,71,32,52,30,23,23,77,81,74,20,20,58,11,56,38,57,127,123,19,12,147,2
84,24,18,58,43,62,63,54,54,41,49,54,146,72,8,48,61,20,12,15,76,36,57,68,105,2
16,48,85,75,59,29,53,44,38,151,185,45,70,35,60,42,37,10,38,81,11,13,55,23,65,8
13,18,98,102,109,60,46,68,27,45,177,37,96,65,33,129,70,41,15,12,12,55,86,14,89,16
41,13,75,27,63,58,61,52,50,10,82,23,82,83,26,67,42,20,38,175,62,60,63,10,18,53
