 ,Area,Mean,Min,Max,Angle,Length
1,18.363,130.014,49.262,218.366,148.134,97.866
2,9.462,130.365,32.318,177.239,-23.703,50.293
3,6.238,91.560,23.925,143.539,-28.301,33.167
4,2.348,156.597,42.333,196.333,180.000,12.355
5,6.763,113.107,37.559,180.042,-20.136,35.889
6,4.450,116.860,20.857,180.254,-177.274,23.614
7,8.445,99.277,28.197,180.616,22.068,44.843
8,12.580,72.751,34.355,113.575,58.707,67.035
9,3.890,92.136,35.743,139.959,29.358,20.619
10,6.308,155.429,42.188,181.749,-13.570,33.508
11,21.166,90.043,46.388,128.498,-22.225,112.840
12,18.713,76.286,33.042,134.304,14.349,99.705
13,3.680,116.681,57.000,147.987,169.992,19.389
14,5.817,137.624,76.333,184.667,100.491,30.842
15,8.621,139.833,53.596,183.983,143.973,45.831
16,6.483,143.335,107.935,183.782,51.633,34.381
17,6.623,84.673,24.362,155.812,7.352,35.108
18,12.686,75.996,47.127,111.000,164.578,67.578
19,6.588,101.024,38.527,184.532,129.806,35.090
20,2.768,131.096,67.333,158.136,112.620,14.601
21,5.397,92.913,44.908,157.569,138.180,28.636
22,4.100,65.603,18.111,95.779,158.749,21.692
23,10.898,105.625,31.389,179.414,137.353,58.027
24,15.769,80.194,38.760,130.531,-29.650,84.007
25,11.950,149.585,57.431,209.667,-17.475,63.587
26,10.057,125.912,51.572,172.394,-9.660,53.549
27,6.098,65.659,33.870,107.033,146.310,32.398
28,2.383,130.287,53.000,160.102,63.435,12.558
29,2.033,115.078,90.876,139.902,122.005,10.596
30,2.558,113.268,61.000,179.333,138.366,13.525
31,2.593,137.063,60.170,169.534,124.992,13.710
32,3.224,87.900,44.851,130.476,156.801,17.108
33,1.962,122.246,38.554,159.720,49.399,10.355
34,11.109,123.875,42.020,186.346,171.254,59.093
35,3.750,70.138,30.460,115.506,163.610,19.903
36,3.715,76.610,11.667,125.243,-166.759,19.616
37,5.572,63.469,22.414,124.227,155.376,29.653
38,14.613,136.184,73.529,175.517,159.734,77.825
39,13.141,86.097,35.084,146.551,164.181,70.044
40,9.602,121.114,36.949,180.107,39.644,51.053
41,10.688,169.117,52.298,213.265,-22.011,56.940
42,13.386,98.645,29.202,184.525,146.560,71.338
43,11.214,78.165,49.823,120.867,-16.390,59.709
44,5.502,121.093,79.667,147.410,2.203,29.224
45,3.294,99.225,78.672,117.333,45.000,17.473
46,4.380,86.855,47.656,127.611,119.055,23.128
47,17.977,91.833,35.873,171.157,10.125,95.840
48,4.661,115.955,43.420,150.457,-43.152,24.633
49,4.275,91.969,33.667,130.978,-8.531,22.715
50,1.927,125.223,112.222,140.444,-173.660,10.171
51,3.399,147.467,18.333,185.000,180.000,17.971
52,3.785,119.471,27.982,156.683,141.843,19.998
53,4.275,82.627,43.579,127.964,174.289,22.576
54,6.343,85.382,48.782,127.280,154.290,33.658
55,7.009,90.260,60.977,130.000,21.161,37.337
56,10.583,107.578,50.684,179.208,135.807,56.395
57,1.121,82.899,62.067,122.667,168.690,5.727
58,3.609,70.168,39.000,130.667,180.000,19.094
59,3.574,97.410,44.000,127.426,17.354,18.828
60,4.380,86.577,43.333,129.559,-29.055,23.128
61,2.313,81.648,62.823,103.298,21.801,12.097
62,2.033,128.758,49.000,162.000,161.565,10.656
63,1.927,116.431,46.012,181.930,153.435,10.046
64,4.766,156.905,40.797,202.880,122.276,25.241
65,6.343,68.125,43.000,113.058,68.552,33.789
66,8.375,112.165,34.661,159.480,132.955,44.504
67,5.572,135.382,47.573,176.432,127.304,29.653
68,6.062,138.099,52.194,194.346,143.531,32.124
69,10.022,108.241,35.743,181.667,120.343,53.360
70,5.572,99.790,37.161,141.338,-24.624,29.653
71,5.537,108.587,73.432,170.592,-46.548,29.397
72,3.960,128.540,22.000,173.136,126.254,20.893
73,3.820,98.282,43.704,120.333,-176.820,20.249
74,2.138,105.617,55.333,138.667,90.000,11.232
75,7.149,125.701,47.079,185.226,124.160,38.006
76,7.289,162.486,91.799,210.266,-22.109,38.795
77,5.887,138.342,63.194,194.889,-14.534,31.329
78,4.871,100.995,51.333,142.919,145.620,25.858
79,3.469,133.558,48.791,191.535,-169.380,18.284
80,13.492,85.321,26.581,153.393,-14.470,71.919
81,15.209,79.506,31.878,162.705,-30.828,81.095
82,3.644,112.140,42.003,155.369,54.462,19.324
83,3.259,106.316,39.875,155.326,148.392,17.145
84,2.909,107.996,80.673,143.836,143.973,15.277
85,1.367,111.580,78.333,139.550,18.435,7.104
86,3.609,93.987,52.588,132.413,151.928,19.094
87,5.957,89.601,37.345,133.923,157.068,31.709
88,7.569,77.207,55.667,95.670,22.989,40.263
89,1.437,90.778,67.667,100.707,153.435,7.535
90,6.308,109.810,74.398,162.622,129.560,33.508
91,6.658,122.433,52.000,184.163,169.046,35.465
92,10.968,173.893,18.846,212.551,177.797,58.449
93,8.480,103.408,22.000,148.231,-26.565,45.207
94,10.092,104.086,48.142,183.000,28.706,53.784
95,7.149,105.809,34.387,139.828,-124.160,38.006
96,9.427,143.571,46.963,199.662,169.695,50.231
97,11.880,117.877,69.773,162.389,-33.408,63.239
98,7.850,69.764,29.181,120.582,175.365,41.694
99,2.313,118.796,34.893,189.128,146.310,12.149
100,9.567,133.377,53.406,211.397,-7.595,50.991
