 	Area	Mean	Min	Max	Angle	Length
1	12.501	128.731	23.614	170.848	-1.302	81.189
2	18.953	150.435	92.281	200.591	-11.226	123.186
3	14.463	170.138	64.979	210.773	-72.277	93.927
4	13.588	152.893	42.464	203.438	-57.804	88.287
5	6.641	129.173	42.207	170.897	22.714	42.996
6	15.503	132.033	98.504	181.977	92.626	100.643
7	6.688	124.601	95.029	159.083	-77.735	43.420
8	12.619	133.067	0.000	172.074	-31.185	81.940
9	6.901	128.273	22.000	160.100	-104.323	44.742
10	14.439	131.323	59.962	197.690	66.209	93.746
11	9.169	98.027	67.656	151.380	23.782	59.469
12	4.986	129.856	98.686	159.667	-91.637	32.296
13	7.184	78.547	35.333	101.551	-13.761	46.531
14	8.697	105.231	67.780	145.310	-4.686	56.453
15	2.221	124.802	35.056	165.122	-14.931	14.319
16	3.923	121.209	35.779	145.426	19.093	25.377
17	4.301	97.959	20.667	140.053	-145.784	27.885
18	4.466	118.761	47.255	158.896	30.651	28.948
19	1.560	137.625	74.991	173.527	-56.310	9.977
20	2.292	129.537	62.667	177.583	-93.576	14.787
21	6.522	114.274	80.718	171.077	20.410	42.318
22	19.165	78.122	32.000	141.000	0.000	124.519
23	8.035	109.703	59.080	137.082	-82.875	52.054
24	8.271	128.887	63.216	161.394	-70.942	53.672
25	4.254	88.109	63.799	122.666	-13.570	27.517
26	6.499	104.963	35.667	132.084	-37.875	42.066
27	0.874	135.054	97.333	160.000	0.000	5.534
28	0.874	135.054	97.333	160.000	0.000	5.534
29	1.442	156.672	130.000	191.747	-15.422	9.249
30	2.954	114.000	43.667	152.711	-23.682	19.136
31	0.591	103.227	59.000	128.000	0.000	3.689
32	2.789	157.756	98.333	183.748	36.674	18.017
33	2.930	148.605	43.333	194.963	-63.853	18.838
34	5.010	104.701	52.177	143.787	18.263	32.376
35	9.925	117.859	85.489	148.420	62.700	64.354
36	2.245	104.027	35.333	116.848	26.565	14.437
37	3.238	131.200	75.000	185.888	-41.424	20.911
38	17.511	124.305	57.000	146.786	53.409	113.728
39	5.412	83.965	29.000	134.263	-86.987	35.098
40	2.789	115.344	68.333	143.000	-39.806	18.010
41	5.152	103.789	42.667	144.987	-42.754	33.288
42	6.830	121.713	56.333	183.333	63.435	44.343
43	5.719	137.500	56.654	164.561	-71.114	37.044
44	2.174	155.707	78.333	186.576	41.009	14.057
45	2.883	130.383	78.667	166.023	-32.905	18.676
46	2.552	122.419	41.585	140.149	-78.690	16.461
47	1.654	125.519	54.435	164.768	2.490	10.617
48	4.443	157.595	64.414	198.287	-74.181	28.760
49	5.104	88.186	53.397	149.722	-102.875	33.115
50	6.357	155.085	106.667	195.822	93.857	41.138
51	4.159	155.307	75.000	183.796	-149.036	26.891
52	4.466	118.653	76.000	177.261	-59.349	28.948
53	4.041	137.233	22.251	186.935	-57.995	26.105
54	3.545	118.857	26.565	210.803	-22.443	22.953
55	6.522	123.288	85.998	161.015	-103.885	42.280
56	7.326	82.842	25.942	118.366	-11.746	47.575
57	4.868	86.293	50.998	113.856	121.827	31.482
58	7.066	135.639	66.159	163.233	-3.468	45.741
59	9.169	106.743	52.140	147.092	32.335	59.494
60	7.633	115.773	72.269	163.265	50.673	49.484
61	5.672	107.116	68.360	155.275	-39.898	36.669
62	4.466	95.593	73.428	157.282	12.926	28.863
63	1.654	114.810	42.667	155.000	0.000	10.607
64	2.340	141.403	25.248	171.571	10.620	15.015
65	5.743	107.346	74.713	149.891	-53.556	37.264
66	0.733	137.344	33.667	180.667	180.000	4.612
67	1.087	130.558	39.667	165.667	90.000	6.918
68	8.578	89.787	53.057	139.519	-127.250	55.620
69	5.648	98.387	55.755	157.629	53.707	36.620
70	7.940	120.245	72.634	168.265	-141.900	51.572
71	4.986	113.011	27.752	169.866	-104.036	32.325
72	3.545	89.611	63.962	125.960	152.403	22.897
73	3.025	104.909	25.651	140.490	-5.440	19.457
74	4.159	71.418	20.823	110.978	-59.036	26.891
75	1.016	119.556	35.071	173.048	-4.086	6.473
76	2.623	93.392	46.399	151.565	-168.996	16.913
77	10.304	102.417	38.163	147.329	177.630	66.928
78	3.379	93.911	45.766	129.442	161.565	21.876
79	2.245	125.490	92.412	169.367	153.435	14.437
80	6.050	123.773	105.768	155.667	-131.186	39.219
81	1.654	89.886	45.000	117.488	145.620	10.617
82	1.725	99.744	42.097	154.708	-33.024	11.001
83	3.285	77.012	31.028	128.000	-101.310	21.164
84	3.190	117.099	72.395	141.070	-34.641	20.553
85	3.403	98.767	53.333	119.121	146.976	22.002
86	6.877	141.869	42.333	178.552	-101.543	44.560
87	6.688	83.143	55.548	137.528	-74.389	43.415
88	8.956	84.943	39.000	145.858	-70.509	58.053
89	4.348	138.166	55.985	161.096	-114.600	28.066
90	2.056	140.831	63.333	190.367	24.775	13.206
91	3.616	97.232	51.232	119.524	-80.910	23.352
92	1.583	140.023	118.000	157.854	-35.134	10.151
93	3.143	84.047	56.473	116.534	110.353	20.331
94	4.632	79.140	24.571	125.233	53.778	29.928
95	2.481	81.005	18.349	126.306	12.288	15.963
96	1.229	123.427	60.667	151.704	130.972	7.848
97	2.316	97.679	34.630	132.137	137.925	14.946
98	1.442	86.276	32.000	113.222	0.000	9.224
99	2.883	120.842	34.638	170.003	-64.699	18.612
100	5.955	79.273	33.667	129.878	43.225	38.570
