 ,Area,Mean,Min,Max,Angle,Length
1,41.892,69.971,17.774,177.736,62.205,191.337
2,20.372,92.058,33.000,128.751,8.931,92.974
3,18.316,116.039,11.492,197.294,16.440,83.450
4,22.381,96.898,29.351,163.499,114.261,102.184
5,23.194,92.453,36.459,172.536,47.010,105.833
6,23.911,135.453,36.000,210.150,85.865,109.188
7,8.704,138.823,98.357,166.972,67.551,39.513
8,19.703,147.233,27.418,188.451,-68.872,89.805
9,8.704,91.462,31.841,161.384,42.763,39.542
10,5.213,98.131,26.326,139.417,140.599,23.666
11,8.608,75.983,17.090,139.783,105.901,39.116
12,7.412,117.798,51.946,182.969,153.435,33.641
13,9.756,107.107,9.244,153.503,22.642,44.307
14,4.400,121.967,19.575,180.565,53.005,19.989
15,5.930,103.405,47.466,161.528,0.000,26.865
16,2.391,124.797,32.479,169.270,135.000,10.638
17,3.778,135.177,68.703,191.779,124.509,16.991
18,1.004,135.202,109.131,169.608,0.000,4.298
19,17.981,81.928,52.889,127.362,145.759,81.967
20,16.020,114.531,41.283,186.816,132.574,73.010
21,9.660,113.981,31.795,178.410,21.590,43.901
22,9.947,137.884,42.492,210.630,5.545,45.338
23,9.899,99.249,25.790,161.400,130.090,44.993
24,6.408,101.550,24.907,170.632,-2.169,29.034
25,29.363,53.891,20.653,118.141,64.814,134.124
26,9.325,113.730,44.090,179.945,54.256,42.348
27,5.452,94.523,32.934,154.779,180.000,24.716
28,5.213,100.235,15.206,144.306,-155.336,23.568
29,4.400,124.382,59.770,160.986,77.196,19.815
30,12.242,82.128,21.770,155.804,50.425,55.724
31,10.043,39.617,16.168,89.962,116.442,45.655
32,21.376,101.279,21.006,174.942,14.036,97.476
33,15.112,136.476,60.633,186.424,61.069,68.783
34,2.726,99.705,29.712,204.112,-142.927,12.252
35,2.917,141.565,62.419,157.782,124.216,13.117
36,10.377,109.482,17.850,158.065,-138.764,47.209
37,13.151,85.048,24.466,163.275,107.840,59.812
38,10.808,86.889,40.688,175.492,-53.691,49.221
39,5.739,52.984,25.461,102.858,119.805,25.991
40,10.521,97.362,37.270,152.950,8.945,47.877
41,5.739,148.734,122.652,183.163,114.404,25.969
42,2.582,167.304,60.357,201.484,-111.194,11.574
43,4.591,117.473,12.353,176.557,61.535,20.670
44,6.886,70.874,57.651,108.000,5.592,31.330
45,7.078,118.681,64.357,171.043,64.303,32.202
46,2.343,152.324,109.431,178.621,65.556,10.584
47,4.304,111.495,61.951,165.347,-173.589,19.462
48,4.352,107.786,20.125,185.672,135.000,19.756
49,7.986,103.535,39.525,212.438,146.023,36.362
50,23.098,80.674,39.433,136.249,71.490,105.344
51,22.524,88.940,29.688,153.671,27.384,102.854
52,8.751,135.182,34.115,191.566,-90.000,39.760
53,15.016,109.837,48.340,163.607,45.000,68.388
54,9.517,115.456,73.145,178.696,23.464,43.319
55,1.769,87.407,46.040,162.610,-165.579,7.823
56,4.830,142.830,59.914,169.667,123.215,21.759
57,2.248,142.225,94.523,172.763,147.339,10.138
58,3.395,135.410,18.527,178.836,167.735,15.386
59,5.452,103.560,25.415,148.927,180.000,24.716
60,7.938,125.007,42.375,173.701,30.431,36.123
61,7.938,63.004,39.372,121.450,162.770,36.027
62,9.134,113.004,26.937,189.651,111.297,41.508
63,5.786,121.858,16.133,169.814,19.041,26.168
64,4.400,49.283,36.383,59.204,139.054,19.815
65,10.090,88.722,23.820,162.822,39.386,45.819
66,19.751,149.705,68.245,178.447,107.379,90.069
67,17.599,127.895,24.878,186.474,105.474,80.301
68,10.903,131.488,61.015,192.853,77.499,49.537
69,11.143,110.854,67.335,174.716,6.177,50.792
70,5.452,131.326,27.486,166.008,180.000,24.716
71,6.456,94.389,16.911,114.530,28.474,29.331
72,2.391,116.882,44.318,167.777,180.000,10.746
73,6.408,106.373,38.882,154.852,141.137,29.034
74,2.391,143.356,119.276,169.949,84.289,10.800
75,2.535,107.664,38.492,131.115,-138.094,11.423
76,19.368,83.543,28.264,144.603,143.442,88.334
77,14.681,111.453,48.965,194.266,131.168,67.023
78,9.086,82.693,49.352,179.166,-65.606,41.355
79,8.130,104.955,59.029,154.333,125.577,36.977
80,4.495,125.758,79.735,177.694,122.137,20.276
81,9.851,111.489,21.749,175.728,30.196,44.787
82,10.186,88.987,19.892,155.488,46.146,46.358
83,5.547,103.619,53.036,178.283,121.050,25.064
84,13.008,104.256,31.848,145.445,-157.608,59.269
85,10.903,96.669,56.335,172.473,86.203,49.537
86,13.199,77.975,34.254,168.678,132.639,60.072
87,11.286,98.216,19.452,207.177,160.560,51.323
88,2.056,108.333,49.957,173.516,134.029,9.118
89,2.056,114.704,85.243,152.666,-35.538,9.244
90,2.152,134.942,35.274,174.869,180.000,9.671
91,4.543,116.937,70.395,165.538,141.435,20.643
92,11.047,116.007,57.505,175.511,110.090,50.312
93,9.421,45.059,14.218,94.004,22.126,42.904
94,6.599,51.783,15.007,115.781,52.457,29.877
95,10.521,99.552,40.608,152.550,-19.671,47.926
96,7.365,103.789,41.951,178.313,-165.237,33.365
97,8.130,76.650,25.424,128.712,125.853,36.977
98,4.974,125.276,61.508,183.851,0.000,22.567
99,8.082,140.307,56.789,191.659,-83.509,36.789
100,16.929,141.574,39.738,197.101,-108.692,77.140
