 ,Area,Mean,Min,Max,Angle,Length
1,40.553,83.761,16.004,187.378,61.195,185.163
2,20.229,95.418,9.822,167.136,12.057,92.316
3,23.911,78.084,14.597,165.362,69.243,109.172
4,23.098,90.681,41.285,172.824,-90.594,105.317
5,12.338,99.390,23.657,178.579,63.933,56.230
6,13.295,99.902,18.214,168.963,29.617,60.646
7,11.095,93.360,38.461,175.040,66.314,50.518
8,10.617,150.818,18.534,197.314,-106.624,48.274
9,8.991,106.350,16.403,157.731,90.000,40.835
10,5.595,91.824,16.884,148.232,-54.118,25.362
11,4.208,180.718,45.088,210.731,-73.237,19.042
12,17.742,102.966,34.777,195.879,-169.266,80.932
13,8.895,149.389,39.620,203.971,-169.361,40.466
14,7.078,123.644,15.072,173.204,39.756,32.059
15,1.913,97.966,22.995,128.447,180.000,8.597
16,32.184,54.590,17.689,143.598,74.722,147.029
17,9.421,123.705,77.887,162.588,118.400,42.796
18,9.660,66.366,16.228,124.239,90.000,44.059
19,4.734,112.880,34.313,151.104,92.921,21.519
20,4.304,118.770,46.069,175.005,123.511,19.373
21,6.886,73.935,29.589,165.366,90.000,31.164
22,4.687,117.193,27.544,144.298,-120.556,21.195
23,8.417,144.550,69.190,187.851,101.182,38.356
24,2.582,138.976,53.179,196.049,112.203,11.574
25,7.078,96.897,30.686,153.883,-90.000,32.238
26,8.034,86.346,15.085,148.398,90.000,36.537
27,22.668,121.630,40.109,195.042,-4.844,103.520
28,7.317,64.842,25.476,131.685,90.000,33.313
29,7.078,124.605,22.483,159.457,166.626,32.059
30,1.913,82.262,32.140,123.439,180.000,8.597
31,3.013,67.076,24.191,104.361,118.237,13.465
32,8.417,135.842,15.104,189.973,11.502,38.356
33,3.108,118.080,29.846,180.517,0.000,13.970
34,5.021,61.057,38.117,92.116,171.714,22.796
35,2.056,171.372,83.178,196.797,-135.000,9.118
36,8.895,114.129,23.937,166.975,61.489,40.394
37,4.017,132.900,81.707,172.899,-135.000,18.237
38,5.069,124.434,38.768,177.780,100.989,22.972
39,2.343,123.739,20.165,165.965,65.556,10.584
40,9.325,110.455,22.960,166.138,149.594,42.389
41,8.512,133.813,64.246,174.126,56.310,38.746
42,19.416,110.006,43.208,178.392,30.552,88.647
43,13.629,140.798,34.981,188.319,-81.069,62.011
44,9.469,101.094,46.820,123.767,-178.546,42.998
45,18.172,83.003,51.703,131.673,132.325,82.912
46,15.207,111.164,63.840,186.861,131.799,69.252
47,9.373,113.807,57.048,156.215,45.000,42.552
48,4.304,135.880,68.750,182.393,-87.397,19.373
49,1.482,107.528,44.606,157.637,170.218,6.537
50,2.248,146.434,49.552,171.634,57.339,10.138
51,5.691,135.850,23.195,168.395,180.000,25.791
52,2.056,123.412,75.522,141.629,-54.462,9.244
53,1.961,162.864,50.080,190.809,82.875,8.664
54,16.451,129.139,79.667,192.383,113.725,75.069
55,12.816,124.489,27.639,194.020,-102.738,58.396
56,5.643,130.705,75.966,191.633,122.881,25.633
57,3.013,149.066,91.657,177.543,162.150,13.593
58,5.404,130.936,47.184,162.651,164.970,24.505
59,8.608,107.425,62.275,166.963,172.278,39.057
60,6.647,142.291,21.510,191.361,-2.090,30.108
61,4.256,99.558,35.681,123.723,-116.274,19.223
62,6.886,110.753,52.020,160.461,116.565,31.238
63,6.360,144.937,52.088,170.796,135.306,28.875
64,5.213,108.137,17.095,175.414,120.141,23.592
65,2.200,103.108,41.490,156.628,40.601,9.907
66,6.217,94.274,28.787,119.635,162.408,28.207
67,9.277,77.016,19.713,148.574,7.419,42.253
68,7.173,68.440,19.822,132.842,62.403,32.683
69,4.208,121.078,84.753,160.922,141.953,19.133
70,1.961,114.040,17.463,164.879,-29.745,8.664
71,3.204,117.226,22.584,170.143,138.077,14.457
72,8.465,114.299,44.532,161.366,23.070,38.521
73,4.495,106.379,61.561,150.000,161.761,20.389
74,7.843,136.842,63.077,215.323,118.918,35.592
75,5.213,57.018,23.837,124.161,180.000,23.641
76,1.243,152.489,40.456,192.320,180.000,5.373
77,8.560,78.499,26.279,120.048,-173.553,38.924
78,2.295,107.337,19.426,158.001,18.825,10.195
79,5.404,108.277,31.844,144.842,-151.390,24.528
80,1.817,120.785,109.775,129.083,156.194,8.184
81,5.260,113.070,24.292,180.579,172.614,23.860
82,7.460,124.057,37.359,187.221,-161.565,33.982
83,6.408,140.269,42.221,188.600,-177.831,29.034
84,10.234,94.054,22.668,165.153,-61.024,46.656
85,12.864,116.019,20.257,175.746,-76.222,58.642
86,12.051,98.114,47.992,152.099,-28.099,54.805
87,11.812,79.254,28.243,150.196,-23.443,53.902
88,11.382,111.299,15.746,175.775,94.844,51.760
89,7.173,76.077,40.703,120.824,152.403,32.683
90,2.965,91.030,38.745,162.841,-75.735,13.292
91,3.348,127.938,81.142,159.785,171.634,15.197
92,2.056,111.653,23.291,165.877,125.538,9.244
93,2.152,81.502,27.485,132.903,180.000,9.671
94,3.348,89.157,23.708,154.452,180.000,15.045
95,1.291,140.036,102.929,166.841,-112.620,5.787
96,11.525,83.761,12.044,137.244,42.466,52.480
97,3.348,164.518,32.352,184.436,-98.366,15.197
98,13.534,90.409,20.604,198.985,-54.792,61.713
99,13.199,108.243,24.960,181.139,-100.249,60.072
100,17.646,126.097,47.808,196.371,-76.982,80.545
